calibs_file,calibration_id,calibs_start,calibs_stop,extrinsic,checker_size,comment,temporal_step,with_distortion,csv_source,row_number,n_corners,calibs_path,north,center,blur,calibs_fullfile,calibs_recording_datetime,center_ij,north_ij,n,reprojection,projection,distance,inverse
20230113_mirror_dance10_dance_ID58.MTS,20230113_mirror_dance10_dance_ID58.MTS,292.0,304.0,293.958,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,42,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230113_mirror_dance10_dance_ID58.MTS,2023-01-13T15:58:53.0,,,7.0,1.3792160430077096,0.12743297707282242,0.1548657124473702,3.1911890368938306e-12
20230114_mirror_dance02_midroll_ID61.MTS,20230114_mirror_dance02_midroll_ID61.MTS,231.0,246.0,233.037,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,43,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID61.MTS,2023-01-14T08:26:07.0,,,9.0,0.7287554431277002,0.0656841637677851,0.12141766727470507,4.558465053152236e-13
20230114_mirror_dance02_dance_ID62.MTS,20230114_mirror_dance02_dance_ID62.MTS,209.0,228.0,210.725,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,44,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_dance_ID62.MTS,2023-01-14T08:33:32.0,,,10.0,0.9568905749935395,0.07298012066871946,0.09362495373837765,6.34189092001944e-13
20230114_mirror_dance02_midroll_ID63.MTS,20230114_mirror_dance02_midroll_ID63.MTS,170.0,186.0,171.475,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,45,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID63.MTS,2023-01-14T08:40:05.0,,,7.0,0.876504517156861,0.08167014544917317,0.12105426488818148,4.949084867211511e-13
20230114_mirror_dance02_dance_ID64.MTS,20230114_mirror_dance02_dance_ID64.MTS,447.0,461.0,448.64,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,46,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_dance_ID64.MTS,2023-01-14T08:47:56.0,,,7.0,0.7753829567639836,0.07236205128922873,0.10112822416492052,4.146588464939927e-13
20230114_mirror_dance02_dance_ID66.MTS,20230114_mirror_dance02_dance_ID66.MTS,178.0,193.0,179.5,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,48,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_dance_ID66.MTS,2023-01-14T09:07:48.0,,,8.0,3.1334249106851146,0.2568326083029335,0.31731184980497495,7.222427630951236e-13
20230114_mirror_dance02_midroll_ID67.MTS,20230114_mirror_dance02_midroll_ID67.MTS,169.0,183.0,170.053,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,49,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID67.MTS,2023-01-14T09:14:16.0,,,8.0,0.6168143356762805,0.06126251084834521,0.09506929717621689,3.7404337226369887e-13
20230114_mirror_dance02_dance_ID68.MTS,20230114_mirror_dance02_dance_ID68.MTS,187.0,203.0,188.134,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,50,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_dance_ID68.MTS,2023-01-14T09:21:33.0,,,8.0,1.1140411894569544,0.10614258708177364,0.15473440403277394,1.3388287575974069e-12
20230114_mirror_dance02_midroll_ID69.MTS,20230114_mirror_dance02_midroll_ID69.MTS,195.0,212.0,197.766,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,51,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID69.MTS,2023-01-14T09:28:49.0,,,10.0,1.2910223502292193,0.13063686642155178,0.22652180715051362,3.753657916875845e-13
20230114_mirror_dance02_dance_ID70.MTS,20230114_mirror_dance02_dance_ID70.MTS,197.0,211.0,198.215,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,52,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_dance_ID70.MTS,2023-01-14T09:36:31.0,,,8.0,0.7306982704621655,0.0725532010620173,0.12150161668773672,1.3132598324909081e-12
