index,condition,elevation,nr_in_cond,individual,year_extracted,person_extracted,total_rotation,go_down_angle_FACE,exit_angle_BUTT,rotation_category,placed_from_angle_FACE,nr_direction_changes,rotation_1_direction,full_lap_1,stop_1_angle_FACE,rotation_2_direction,full_lap_2,stop_2_angle_FACE,rotation_3_direction,full_lap_3,stop_3_angle_FACE
239,LED,90,17,#17_20170330,2025,Elin,125,105,10,both,50,1,ccw,0,15,cw,0,105,,,
240,LED,90,18,#18_20170330,2025,Elin,670,210,110,both,300,1,ccw,1,280,cw,0,210,,,
241,LED,90,19,#19_20170330,2025,Elin,75,175,305,both,130,1,ccw,0,115,cw,0,175,,,
242,LED,90,20,#20_20170330,2025,Elin,255,250,20,ccw,145,0,ccw,0,250,,,,,,
243,LED,90,21,#21_20170330,2025,Elin,630,85,195,both,45,2,ccw,0,30,cw,1,185,ccw,0,85
244,LED,90,22,#22_20170330,2025,Elin,70,270,115,both,240,1,ccw,0,220,cw,0,270,,,
245,LED,90,23,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
246,LED,90,24,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
247,LED,90,25,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
248,LED,90,26,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
249,LED,90,27,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
250,LED,90,28,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
251,LED,90,29,#29_20170331,2025,Elin,395,310,120,cw,275,0,cw,1,310,,,,,,
252,LED,90,30,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
253,LED,90,31,#31_20170331,2025,Elin,335,320,40,both,45,1,ccw,0,15,cw,0,320,,,
254,LED,90,32,#32_20170331,2025,Elin,300,170,35,cw,230,0,cw,0,170,,,,,,
255,LED,90,33,#33_20170331,2025,Elin,195,100,115,ccw,295,0,ccw,0,100,,,,,,
256,LED,90,34,#34_20170403,2025,Elin,225,85,290,cw,220,0,cw,0,85,,,,,,
257,LED,90,35,#35_20170403,2025,Elin,135,350,220,cw,215,0,cw,0,350,,,,,,
258,LED,90,36,#36_20170403,2025,Elin,60,30,195,ccw,90,0,ccw,0,30,,,,,,
259,LED,90,37,#37_20170403,2025,Elin,100,30,175,ccw,130,0,ccw,0,30,,,,,,
260,LED,90,38,#38_20170403,2025,Elin,375,265,60,cw,250,0,cw,1,265,,,,,,
261,LED,90,39,#39_20170403,2025,Elin,235,90,150,cw,215,0,cw,0,90,,,,,,
262,dark,0,1,#01_20170328,2025,Elin,415,100,260,cw,45,0,cw,1,100,,,,,,
263,dark,0,2,#02_20170328,2025,Elin,15,40,255,cw,25,0,cw,0,40,,,,,,
264,dark,0,3,#03_20170328,2025,Elin,20,140,260,cw,120,0,cw,0,140,,,,,,
