individual_number;placed from;placed from angle (degrees);rotation 1 direction;full lap;go down angle (degrees);rotation category measured;exit angle (degrees);smallest possible angle (degrees);smallest absolute angle (degrees);total absolute degrees of rotation;initial exit
11;ccw;200;ccw;0;30;ccw;20;-170;170;170;335
11;cw;80;cw;0;355;cw;15;-85;85;275;335
11;ccw;180;ccw;0;45;ccw;15;-135;135;135;335
12;ccw;230;cw;0;5;cw;10;135;135;135;350
12;cw;95;ccw;0;325;ccw;350;-130;130;130;350
12;ccw;240;cw;0;10;cw;355;130;130;130;350
12;cw;90;cw;0;355;cw;0;-95;95;265;350
12;ccw;255;ccw;0;335;ccw;350;80;80;280;350
12;cw;85;cw;0;285;cw;320;-160;160;200;350
12;ccw;255;ccw;0;5;ccw;345;110;110;250;350
12;cw;90;ccw;0;325;ccw;5;-125;125;125;350
12;ccw;235;cw;0;350;cw;15;115;115;115;350
12;cw;110;cw;0;300;cw;350;-170;170;190;350
13;cw;45;cw;0;275;both;305;-130;130;220;265
13;ccw;150;ccw;0;330;ccw;330;180;180;180;265
13;cw;350;cw;0;15;cw;335;25;25;25;265
13;ccw;175;ccw;0;325;ccw;345;150;150;210;265
13;cw;30;ccw;0;300;ccw;315;-90;90;90;265
13;ccw;170;cw;0;350;cw;340;180;180;180;265
13;cw;25;ccw;0;335;ccw;320;-50;50;50;265
13;ccw;155;cw;0;320;cw;330;165;165;165;265
13;cw;40;ccw;0;270;ccw;310;-130;130;130;265
13;ccw;205;cw;0;5;cw;345;160;160;160;265
14;ccw;270;ccw;0;320;ccw;330;50;50;310;0
14;cw;65;ccw;0;345;ccw;345;-80;80;80;0
14;ccw;310;cw;0;5;cw;0;55;55;55;0
14;cw;90;cw;0;320;cw;320;-130;130;230;0
14;ccw;260;ccw;0;335;ccw;335;75;75;285;0
14;cw;95;cw;0;270;cw;315;175;175;175;0
14;ccw;275;ccw;0;305;ccw;315;30;30;330;0
14;cw;105;ccw;0;310;ccw;310;-155;155;155;0
14;ccw;275;cw;0;355;cw;345;80;80;80;0
14;cw;90;cw;0;335;cw;340;-115;115;245;0
15;cw;195;cw;0;265;cw;285;70;70;70;300
15;ccw;40;ccw;0;280;ccw;300;-120;120;120;300
15;cw;220;cw;0;270;cw;300;50;50;50;300
15;ccw;35;ccw;0;245;ccw;315;-150;150;150;300
15;cw;230;ccw;0;275;both;315;45;45;185;300
15;ccw;40;ccw;0;340;ccw;325;-60;60;60;300
15;cw;200;cw;0;315;cw;325;115;115;115;300
15;ccw;60;ccw;0;270;ccw;315;-150;150;150;300
15;cw;230;ccw;0;280;ccw;295;50;50;310;300
15;ccw;40;ccw;0;300;ccw;330;-100;100;100;300
