index;beetle;individual_number;date;video 2 name;run number;placed from;placed from angle theoretical (degrees);start time;placed from angle (degrees);rotation 1 direction;rotation 1 full lap? (degrees);angle before direction change 1 (degrees);rotation 2 direction;rotation 2 full lap? (degrees);angle before direction change 2 (degrees);rotation 3 direction;rotation 3 full lap? (degrees);end time;go down angle (degrees);rotation category manual;rotation category measured;exit angle (degrees);comment;smallest possible angle (degrees);smallest possible direction;smallest possible rotation large;smallest absolute angle (degrees);end angle for rotation 1 (degrees);end angle for rotation 2 (degrees);degrees rotation 1;degrees rotation 2;degrees rotation 3;total absolute degrees of rotation
30;3;3;20221119;FirstVsSubsequent_20221119_cam2_01;10;cw;70,00;00:08:07;105;cw;;;;;;;;00:08:09;225;cw;cw;320;;120;cw;0;120;225;225;120;0;0;120
33;4;4;20221119;FirstVsSubsequent_20221119_cam2_01;1;cw;120,00;00:12:07;140;ccw;;195;cw;;;;;00:12:14;35;both;both;30;;-105;ccw;0;105;195;35;-305;200;0;505
34;4;4;20221119;FirstVsSubsequent_20221119_cam2_01;2;ccw;300,00;00:12:52;310;cw;;;;;;;;00:12:55;45;cw;cw;20;;95;cw;0;95;45;45;95;0;0;95
35;4;4;20221119;FirstVsSubsequent_20221119_cam2_01;3;cw;120,00;00:13:17;140;cw;;;;;;;;00:13:20;320;cw;cw;5;;180;cw;1;180;320;320;180;0;0;180
36;4;4;20221119;FirstVsSubsequent_20221119_cam2_01;4;ccw;300,00;00:13:39;295;cw;;;;;;;;00:13:41;45;cw;cw;10;;110;cw;0;110;45;45;110;0;0;110
37;4;4;20221119;FirstVsSubsequent_20221119_cam2_01;5;cw;120,00;00:13:57;130;cw;;;;;;;;00:13:59;45;cw;cw;355;;-85;ccw;0;85;45;45;275;0;0;275
38;4;4;20221119;FirstVsSubsequent_20221119_cam2_01;6;ccw;300,00;00:14:20;270;cw;;;;;;;;00:14:23;10;cw;cw;0;;100;cw;0;100;10;10;100;0;0;100
39;4;4;20221119;FirstVsSubsequent_20221119_cam2_01;7;cw;120,00;00:14:41;120;cw;;;;;;;;00:14:45;290;cw;cw;350;;170;cw;1;170;290;290;170;0;0;170
40;4;4;20221119;FirstVsSubsequent_20221119_cam2_01;8;ccw;300,00;00:15:06;280;ccw;;210;cw;;;;;00:15:10;345;both;both;355;;65;cw;0;65;210;345;-70;135;0;205
41;4;4;20221119;FirstVsSubsequent_20221119_cam2_01;9;cw;120,00;00:15:25;125;cw;;;;;;;;00:15:28;305;cw;cw;355;;180;cw;1;180;305;305;180;0;0;180
42;4;4;20221119;FirstVsSubsequent_20221119_cam2_01;10;ccw;300,00;00:15:45;295;ccw;;240;cw;;;;;00:15:48;30;both;both;355;;95;cw;0;95;240;30;-55;150;0;205
43;5;5;20221119;FirstVsSubsequent_20221119_cam2_04;1;ccw;160,00;00:10:01;230;cw;;;;;;;;00:10:04;355;cw;cw;250;;125;cw;0;125;355;355;125;0;0;125
44;5;5;20221119;FirstVsSubsequent_20221119_cam2_04;2;cw;340,00;00:10:23;280;ccw;;;;;;;;00:10:25;230;ccw;ccw;225;;-50;ccw;0;50;230;230;-50;0;0;50
45;5;5;20221119;FirstVsSubsequent_20221119_cam2_04;3;ccw;160,00;00:10:42;85;ccw;;;;;;;;00:10:43;270;ccw;ccw;235;;-175;ccw;1;175;270;270;-175;0;0;175
46;5;5;20221119;FirstVsSubsequent_20221119_cam2_04;4;cw;340,00;00:11:02;45;ccw;;;;;;;;00:11:03;235;ccw;ccw;230;;-170;ccw;1;170;235;235;-170;0;0;170
47;5;5;20221119;FirstVsSubsequent_20221119_cam2_04;5;ccw;160,00;00:11:15;220;cw;;;;;;;;00:11:16;275;cw;cw;250;;55;cw;0;55;275;275;55;0;0;55
48;5;5;20221119;FirstVsSubsequent_20221119_cam2_04;6;cw;340,00;00:11:31;355;ccw;;;;;;;;00:11:35;235;ccw;ccw;240;;-120;ccw;0;120;235;235;-120;0;0;120
49;5;5;20221119;FirstVsSubsequent_20221119_cam2_04;7;ccw;160,00;00:11:48;125;cw;;;;;;;;00:11:49;305;cw;cw;255;;180;cw;1;180;305;305;180;0;0;180
50;5;5;20221119;FirstVsSubsequent_20221119_cam2_04;8;cw;340,00;00:12:03;280;ccw;;;;;;;;00:12:03;220;ccw;ccw;240;;-60;ccw;0;60;220;220;-60;0;0;60
51;5;5;20221119;FirstVsSubsequent_20221119_cam2_04;9;ccw;160,00;00:12:15;165;cw;;;;;;;;00:12:17;290;cw;cw;260;;125;cw;0;125;290;290;125;0;0;125
52;5;5;20221119;FirstVsSubsequent_20221119_cam2_04;10;cw;340,00;00:12:29;265;cw;360;;;;;;;00:12:34;285;cw;cw;280;;20;cw;0;20;285;285;380;0;0;380
53;6;6;20221119;FirstVsSubsequent_20221119_cam2_05;1;ccw;245,00;00:08:47;230;cw;;;;;;;;00:08:58;315;cw;cw;350;;85;cw;0;85;315;315;85;0;0;85
54;6;6;20221119;FirstVsSubsequent_20221119_cam2_05;2;cw;65,00;00:09:11;80;cw;;;;;;;;00:09:14;330;cw;cw;15;;-110;ccw;0;110;330;330;250;0;0;250
55;6;6;20221119;FirstVsSubsequent_20221119_cam2_05;3;ccw;245,00;00:09:26;230;ccw;;;;;;;;00:09:28;20;ccw;ccw;15;;150;cw;0;150;20;20;-210;0;0;210
56;6;6;20221119;FirstVsSubsequent_20221119_cam2_05;4;cw;65,00;00:09:41;60;cw;;;;;;;;00:09:44;310;cw;cw;0;;-110;ccw;0;110;310;310;250;0;0;250
57;6;6;20221119;FirstVsSubsequent_20221119_cam2_05;5;ccw;245,00;00:09:56;230;ccw;;;;;;;;00:09:59;325;ccw;ccw;310;;95;cw;0;95;325;325;-265;0;0;265
58;6;6;20221119;FirstVsSubsequent_20221119_cam2_05;6;cw;65,00;00:10:10;120;ccw;;;;;;;;00:10:12;280;ccw;ccw;315;;160;cw;0;160;280;280;-200;0;0;200
59;6;6;20221119;FirstVsSubsequent_20221119_cam2_05;7;ccw;245,00;00:10:22;225;ccw;;;;;;;;00:10:24;285;ccw;ccw;295;;60;cw;0;60;285;285;-300;0;0;300
60;6;6;20221119;FirstVsSubsequent_20221119_cam2_05;8;cw;65,00;00:10:37;85;cw;;;;;;;;00:10:38;250;cw;cw;260;;165;cw;1;165;250;250;165;0;0;165
