source,proportion,q1,median,q2,mode,mean
(Intercept),1.0,4.9471017463524393e-48,1.8662527311500753e-13,5.047491594813801e-5,4.314876189789365e-171,1.6936904429225223e-5
dance_by: disrupt,0.9825,3.837343331158093e-30,5.141763409379901e-8,0.02868305957400628,5.544014815217662e-122,0.004789681853969342
dance_by: hold,0.9754,3.444621397697434e-38,1.8085244533803135e-9,0.047857904699450844,1.7920854008945696e-159,0.007427584762066347
light: dark,0.8298,4.701883584644678e-15,0.000924641273448181,0.39800049478299926,8.454461765643528e-83,0.04100698622991218
r,0.9007,1.0242306818607447e-18,0.00010069043956003487,0.23358459264821302,1.8756672378993793e-84,0.022566614747694884
