source,q1,median,q2,mode,mean
(Intercept),5.7357623360949266e-291,4.783148821938825e-104,3.5926787780659786e-40,0.0,6.498238577773005e-21
r,6.511672597239923e-32,3.658030788182769e-8,0.2470110713295416,1.3654472524221911e-15,0.018751427932041556
condition: hold,0.0,3.7904388567666464e-156,5.475117763040278e-45,0.0,3.3094324018380505e-8
condition: disrupt,0.0,4.709172879081514e-133,6.155834143632194e-41,0.0,1.2937996998002071e-6
condition: no,1.4395416692047642e-47,1.1899843151548479e-7,0.7563626977869742,0.0040365940023066975,0.06630323839162769
r & condition: hold,7.056981193020149e-54,5.610998375821233e-7,0.8154124931975446,3.541904419095273e-19,0.08412930099454506
r & condition: disrupt,1.9283754913631367e-38,0.0001052927661548351,0.8688362863106157,3.863100502588101e-20,0.11085536134865553
r & condition: no,9.199834435877449e-25,0.0012630306609472564,0.8624881997452875,0.06466333176426045,0.11687907172597783
