t,i,j
275.0,517,711
275.0427358490566,516,711
275.0854716981132,516,710
275.12820754716984,516,710
275.1709433962264,516,709
275.213679245283,516,708
275.2564150943396,516,708
275.2991509433962,515,707
275.34188679245284,514,707
275.38462264150945,514,705
275.42735849056606,514,703
275.4700943396226,515,700
275.51283018867923,516,696
275.55556603773584,517,695
275.59830188679246,519,693
275.64103773584907,519,692
275.6837735849057,519,692
275.7265094339623,519,692
275.76924528301885,517,692
275.81198113207546,517,691
275.85471698113207,517,691
275.8974528301887,517,690
275.9401886792453,517,689
275.9829245283019,517,689
276.02566037735846,517,688
276.0683962264151,518,687
276.1111320754717,521,686
276.1538679245283,524,684
276.1966037735849,526,682
276.2393396226415,528,681
276.28207547169814,530,679
276.3248113207547,530,679
276.3675471698113,529,678
276.4102830188679,527,676
276.4530188679245,526,674
276.49575471698114,525,672
276.53849056603775,524,671
276.58122641509436,524,671
276.6239622641509,524,671
276.66669811320753,524,670
276.70943396226414,524,669
276.75216981132075,524,668
276.79490566037737,523,667
276.837641509434,523,665
276.8803773584906,522,663
276.92311320754715,522,661
276.96584905660376,522,660
277.00858490566037,523,658
277.051320754717,524,656
277.0940566037736,525,655
277.1367924528302,527,653
277.1795283018868,530,651
277.2222641509434,533,648
277.265,535,646
277.3077358490566,536,637
277.3504716981132,536,638
277.3932075471698,536,638
277.43594339622643,536,638
277.47867924528305,536,638
277.5214150943396,536,638
277.5641509433962,536,638
277.6068867924528,535,639
277.64962264150944,533,640
277.69235849056605,530,642
277.73509433962266,527,644
277.7778301886792,525,645
277.82056603773583,523,647
277.86330188679244,522,648
277.90603773584905,523,649
277.94877358490567,524,651
277.9915094339623,525,654
278.0342452830189,526,656
278.07698113207545,528,656
278.11971698113206,529,656
278.16245283018867,530,656
278.2051886792453,530,656
278.2479245283019,530,656
278.2906603773585,528,657
278.3333962264151,527,658
278.3761320754717,525,660
278.4188679245283,525,660
278.4616037735849,526,662
278.5043396226415,527,663
278.5470754716981,529,664
278.58981132075473,530,666
278.63254716981135,532,669
278.6752830188679,533,671
278.7180188679245,534,673
278.7607547169811,534,674
278.80349056603774,533,676
278.84622641509435,528,677
278.88896226415096,525,677
278.9316981132076,523,678
278.97443396226413,522,678
279.01716981132074,522,679
279.05990566037735,522,680
279.10264150943397,522,681
279.1453773584906,521,683
279.1881132075472,521,684
279.2308490566038,521,685
279.27358490566036,521,686
279.31632075471697,520,687
279.3590566037736,520,688
279.4017924528302,519,689
279.4445283018868,518,690
279.4872641509434,518,690
279.53,517,692
279.5727358490566,517,693
279.6154716981132,517,695
279.6582075471698,517,697
279.7009433962264,517,698
279.74367924528303,517,700
279.78641509433965,518,701
279.8291509433962,520,702
279.8718867924528,518,704
279.9146226415094,517,705
279.95735849056604,515,707
280.00009433962265,514,707
280.04283018867926,513,707
