t,i,j
281.0,524,720
281.0416666666667,525,721
281.0833333333333,525,722
281.125,526,722
281.1666666666667,525,722
281.2083333333333,525,723
281.25,524,724
281.2916666666667,523,725
281.3333333333333,521,727
281.375,520,728
281.4166666666667,519,728
281.4583333333333,519,729
281.5,519,730
281.5416666666667,518,732
281.5833333333333,517,734
281.625,515,735
281.6666666666667,513,736
281.7083333333333,511,738
281.75,510,740
281.7916666666667,509,740
281.8333333333333,508,740
281.875,508,741
281.9166666666667,509,741
281.9583333333333,510,743
282.0,511,744
282.0416666666667,510,745
282.0833333333333,509,746
282.125,509,746
282.1666666666667,509,745
282.2083333333333,509,744
282.25,509,744
282.2916666666667,508,745
282.3333333333333,507,745
282.375,505,747
282.4166666666667,502,748
282.4583333333333,500,750
282.5,500,753
282.5416666666667,500,755
282.5833333333333,500,756
282.625,500,758
282.6666666666667,498,759
282.7083333333333,496,760
282.75,493,761
282.7916666666667,491,762
282.8333333333333,490,762
282.875,490,761
282.9166666666667,489,761
282.9583333333333,489,760
283.0,490,760
283.0416666666667,491,761
283.0833333333333,492,762
283.125,494,763
283.1666666666667,496,765
283.2083333333333,498,767
283.25,500,768
283.2916666666667,502,769
283.3333333333333,505,769
283.375,507,770
283.4166666666667,508,771
283.4583333333333,510,773
283.5,516,775
283.5416666666667,518,775
283.5833333333333,520,776
283.625,520,776
283.6666666666667,519,776
283.7083333333333,518,776
283.75,517,776
283.7916666666667,516,776
283.8333333333333,514,776
283.875,513,776
283.9166666666667,513,776
283.9583333333333,514,777
284.0,514,777
284.0416666666667,514,777
284.0833333333333,514,777
284.125,514,778
284.1666666666667,514,778
284.2083333333333,514,779
284.25,514,779
284.2916666666667,514,780
284.3333333333333,514,780
284.375,513,781
284.4166666666667,510,783
284.4583333333333,509,783
284.5,508,783
284.5416666666667,508,783
284.5833333333333,509,783
284.625,509,783
284.6666666666667,510,783
284.7083333333333,509,784
284.75,508,785
284.7916666666667,506,787
284.8333333333333,504,789
284.875,502,791
284.9166666666667,500,793
284.9583333333333,499,795
285.0,499,796
285.0416666666667,500,798
285.0833333333333,502,799
285.125,504,800
285.1666666666667,506,801
285.2083333333333,506,804
285.25,506,805
285.2916666666667,506,806
285.3333333333333,505,806
285.375,504,806
285.4166666666667,503,807
285.4583333333333,503,807
285.5,503,808
285.5416666666667,502,809
285.5833333333333,500,811
285.625,499,813
285.6666666666667,498,815
285.7083333333333,497,818
285.75,497,821
285.7916666666667,499,823
285.8333333333333,500,826
285.875,503,828
285.9166666666667,506,831
285.9583333333333,508,834
286.0,508,834
286.0416666666667,488,814
286.0833333333333,489,794
286.125,489,794
286.1666666666667,489,794
286.2083333333333,489,794
286.25,490,794
286.2916666666667,490,794
286.3333333333333,490,794
286.375,491,794
286.4166666666667,493,794
286.4583333333333,493,795
286.5,496,796
286.5416666666667,497,798
286.5833333333333,499,800
286.625,501,802
286.6666666666667,503,804
286.7083333333333,506,804
286.75,507,805
286.7916666666667,509,805
286.8333333333333,510,805
286.875,511,805
286.9166666666667,513,805
286.9583333333333,515,805
287.0,517,805
287.0416666666667,519,806
287.0833333333333,519,805
287.125,520,805
287.1666666666667,522,804
287.2083333333333,523,802
287.25,525,800
287.2916666666667,527,798
287.3333333333333,528,797
287.375,529,798
287.4166666666667,529,798
287.4583333333333,529,798
287.5,528,799
287.5416666666667,529,799
287.5833333333333,529,799
287.625,531,800
287.6666666666667,532,800
287.7083333333333,532,800
287.75,533,800
287.7916666666667,534,799
287.8333333333333,535,799
287.875,538,800
287.9166666666667,540,801
287.9583333333333,542,803
288.0,544,805
288.0416666666667,547,808
288.0833333333333,549,810
288.125,551,812
288.1666666666667,554,815
288.2083333333333,557,817
288.25,558,817
288.2916666666667,559,817
288.3333333333333,559,816
288.375,558,816
288.4166666666667,558,815
288.4583333333333,557,814
288.5,558,814
288.5416666666667,558,814
288.5833333333333,559,815
288.625,560,815
288.6666666666667,560,816
288.7083333333333,561,817
288.75,562,817
288.7916666666667,564,818
288.8333333333333,566,818
288.875,568,818
288.9166666666667,572,818
288.9583333333333,575,817
289.0,578,817
289.0416666666667,581,817
289.0833333333333,583,817
289.125,584,817
289.1666666666667,585,819
289.2083333333333,586,821
289.25,587,823
289.2916666666667,588,825
289.3333333333333,589,826
289.375,591,827
289.4166666666667,592,826
289.4583333333333,594,825
289.5,597,822
289.5416666666667,598,821
289.5833333333333,598,821
289.625,600,821
289.6666666666667,600,821
289.7083333333333,602,821
289.75,603,820
289.7916666666667,605,820
289.8333333333333,608,821
289.875,608,821
289.9166666666667,609,821
289.9583333333333,609,821
290.0,609,821
290.0416666666667,610,821
290.0833333333333,611,821
290.125,612,820
290.1666666666667,612,820
290.2083333333333,611,820
290.25,611,820
290.2916666666667,609,820
290.3333333333333,608,820
290.375,607,820
290.4166666666667,607,821
290.4583333333333,608,821
290.5,610,822
290.5416666666667,611,822
290.5833333333333,612,822
290.625,614,822
290.6666666666667,616,822
290.7083333333333,619,822
290.75,622,823
290.7916666666667,626,823
290.8333333333333,628,823
290.875,629,824
290.9166666666667,629,824
290.9583333333333,628,824
291.0,627,824
291.0416666666667,627,824
291.0833333333333,627,824
291.125,628,824
291.1666666666667,628,824
291.2083333333333,628,824
291.25,629,824
291.2916666666667,629,824
291.3333333333333,631,824
291.375,633,824
291.4166666666667,634,824
291.4583333333333,635,823
291.5,639,823
291.5416666666667,640,824
291.5833333333333,641,825
291.625,642,826
291.6666666666667,642,827
291.7083333333333,642,828
291.75,642,829
291.7916666666667,642,830
291.8333333333333,642,831
291.875,642,833
291.9166666666667,641,834
291.9583333333333,641,835
292.0,640,836
292.0416666666667,640,836
292.0833333333333,641,836
292.125,641,836
292.1666666666667,641,836
292.2083333333333,641,835
292.25,641,835
292.2916666666667,641,834
292.3333333333333,643,835
292.375,644,835
292.4166666666667,645,835
292.4583333333333,646,836
292.5,648,837
292.5416666666667,648,837
292.5833333333333,649,837
292.625,653,838
292.6666666666667,657,838
292.7083333333333,661,838
292.75,663,836
292.7916666666667,667,834
