t,i,j
344.0,513,730
344.0416666666667,512,730
344.0833333333333,512,730
344.125,511,730
344.1666666666667,509,730
344.2083333333333,507,730
344.25,506,730
344.2916666666667,504,730
344.3333333333333,503,730
344.375,503,730
344.4166666666667,503,730
344.4583333333333,503,731
344.5,502,731
344.5416666666667,502,731
344.5833333333333,501,732
344.625,500,734
344.6666666666667,498,736
344.7083333333333,497,738
344.75,496,739
344.7916666666667,496,739
344.8333333333333,496,739
344.875,495,739
344.9166666666667,495,740
344.9583333333333,496,740
345.0,496,740
345.0416666666667,495,740
345.0833333333333,494,741
345.125,493,741
345.1666666666667,492,742
345.2083333333333,492,742
345.25,492,743
345.2916666666667,491,744
345.3333333333333,491,745
345.375,488,747
345.4166666666667,486,750
345.4583333333333,484,753
345.5,483,758
345.5416666666667,483,761
345.5833333333333,483,763
345.625,483,763
345.6666666666667,482,762
345.7083333333333,482,762
345.75,482,761
345.7916666666667,482,762
345.8333333333333,482,762
345.875,481,762
345.9166666666667,481,762
345.9583333333333,481,762
346.0,480,762
346.0416666666667,479,762
346.0833333333333,478,762
346.125,477,761
346.1666666666667,475,761
346.2083333333333,474,761
346.25,471,760
346.2916666666667,469,760
346.3333333333333,466,759
346.375,463,760
346.4166666666667,463,760
346.4583333333333,463,761
346.5,462,763
346.5416666666667,461,763
346.5833333333333,461,763
346.625,460,763
346.6666666666667,459,763
346.7083333333333,458,763
346.75,456,764
346.7916666666667,454,765
346.8333333333333,452,766
346.875,449,767
346.9166666666667,448,768
346.9583333333333,447,769
347.0,447,770
347.0416666666667,448,771
347.0833333333333,448,771
347.125,449,770
347.1666666666667,449,770
347.2083333333333,449,770
347.25,449,771
347.2916666666667,449,771
347.3333333333333,449,771
347.375,449,770
347.4166666666667,449,770
347.4583333333333,449,770
347.5,447,768
347.5416666666667,446,766
347.5833333333333,444,765
347.625,443,765
347.6666666666667,443,766
347.7083333333333,443,766
347.75,442,766
347.7916666666667,442,766
347.8333333333333,441,766
347.875,441,766
347.9166666666667,441,766
347.9583333333333,441,766
348.0,441,766
348.0416666666667,440,765
348.0833333333333,440,765
348.125,440,765
348.1666666666667,440,765
348.2083333333333,439,764
348.25,438,762
348.2916666666667,437,761
348.3333333333333,435,758
348.375,435,757
348.4166666666667,435,756
348.4583333333333,436,755
348.5,438,754
348.5416666666667,438,754
348.5833333333333,437,753
348.625,435,752
348.6666666666667,433,752
348.7083333333333,432,751
348.75,430,748
348.7916666666667,429,747
348.8333333333333,428,745
348.875,428,744
348.9166666666667,427,744
348.9583333333333,428,743
349.0,429,742
349.0416666666667,431,741
349.0833333333333,432,739
349.125,432,738
349.1666666666667,430,737
349.2083333333333,429,736
349.25,429,737
349.2916666666667,430,737
349.3333333333333,430,736
349.375,429,734
349.4166666666667,427,731
349.4583333333333,425,727
349.5,422,724
349.5416666666667,422,723
349.5833333333333,421,722
349.625,420,722
349.6666666666667,420,721
349.7083333333333,420,721
349.75,420,721
349.7916666666667,420,721
