t,i,j
338.0,564,1061
338.0417995495495,564,1061
338.0835990990991,564,1061
338.1253986486486,565,1062
338.1671981981982,566,1062
338.20899774774773,566,1063
338.2507972972973,566,1062
338.29259684684683,567,1063
338.3343963963964,566,1063
338.37619594594594,567,1063
338.4179954954955,567,1063
338.45979504504504,568,1064
338.5015945945946,569,1064
338.54339414414414,569,1063
338.58519369369367,569,1062
338.62699324324325,569,1062
338.6687927927928,568,1062
338.71059234234235,568,1062
338.7523918918919,568,1062
338.79419144144146,568,1062
338.835990990991,568,1062
338.87779054054056,567,1061
338.9195900900901,567,1061
338.96138963963966,566,1061
339.0031891891892,566,1061
339.04498873873877,566,1061
339.0867882882883,566,1060
339.1285878378378,565,1059
339.1703873873874,564,1057
339.2121869369369,561,1053
339.2539864864865,559,1052
339.295786036036,558,1049
339.3375855855856,557,1046
339.3793851351351,558,1045
339.4211846846847,558,1044
339.4629842342342,557,1044
339.5047837837838,556,1044
339.54658333333333,555,1044
339.5883828828829,555,1043
339.63018243243243,555,1042
339.67198198198196,555,1040
339.71378153153154,555,1038
339.75558108108106,556,1035
339.79738063063064,559,1033
339.83918018018016,561,1031
339.88097972972975,563,1028
339.92277927927927,565,1025
339.96457882882885,566,1021
340.0063783783784,566,1019
340.04817792792795,566,1019
340.0899774774775,566,1019
340.131777027027,566,1018
340.1735765765766,566,1017
340.2153761261261,565,1016
340.2571756756757,564,1016
340.2989752252252,564,1015
340.3407747747748,563,1014
340.3825743243243,563,1013
340.4243738738739,564,1010
340.4661734234234,564,1009
340.507972972973,564,1008
340.5497725225225,563,1006
340.5915720720721,562,1006
340.6333716216216,561,1004
340.67517117117114,560,1001
340.7169707207207,559,998
340.75877027027025,557,994
340.8005698198198,555,992
340.84236936936935,554,991
340.88416891891893,554,989
340.92596846846845,554,988
340.96776801801803,553,987
341.00956756756756,552,985
341.05136711711714,550,983
341.09316666666666,548,982
341.13496621621624,546,981
341.17676576576577,544,980
341.2185653153153,542,978
341.26036486486487,541,976
341.3021644144144,540,974
341.343963963964,539,973
341.3857635135135,540,973
341.4275630630631,541,972
341.4693626126126,541,971
341.5111621621622,540,969
341.5529617117117,539,968
341.5947612612613,539,966
341.6365608108108,539,965
341.6783603603604,539,964
341.7201599099099,538,961
341.76195945945943,537,958
341.803759009009,536,954
341.84555855855854,536,950
341.8873581081081,535,947
341.92915765765764,535,945
341.9709572072072,535,943
342.01275675675674,535,942
342.0545563063063,535,941
342.09635585585585,534,938
342.1381554054054,533,935
342.17995495495495,533,934
342.22175450450453,533,934
342.26355405405405,533,934
342.3053536036036,533,934
342.34715315315316,532,933
342.3889527027027,531,934
342.43075225225226,526,935
342.4725518018018,523,935
342.51435135135137,521,937
342.5561509009009,518,937
342.59795045045047,514,937
342.63975,511,938
342.6815495495496,509,940
342.7233490990991,507,941
342.7651486486487,506,941
342.8069481981982,507,940
342.8487477477477,506,940
342.8905472972973,505,939
342.9323468468468,505,938
342.9741463963964,504,938
343.01594594594593,504,938
343.0577454954955,504,938
343.09954504504503,505,938
343.1413445945946,505,937
343.18314414414414,505,937
343.2249436936937,505,937
343.26674324324324,505,937
343.3085427927928,505,937
343.35034234234234,504,937
343.39214189189187,504,938
343.43394144144145,503,937
343.47574099099097,503,937
343.51754054054055,502,936
343.5593400900901,502,936
343.60113963963965,502,936
343.6429391891892,502,935
343.68473873873876,502,933
343.7265382882883,501,932
343.76833783783786,500,930
343.8101373873874,498,927
343.8519369369369,497,926
343.8937364864865,493,924
343.935536036036,488,922
343.9773355855856,486,922
344.0191351351351,483,923
344.0609346846847,482,923
344.1027342342342,480,922
344.1445337837838,479,922
344.1863333333333,478,921
344.2281328828829,477,920
344.2699324324324,476,920
344.311731981982,475,920
344.35353153153153,474,919
344.39533108108105,472,918
344.43713063063063,465,912
344.47893018018016,462,910
344.52072972972974,461,909
344.56252927927926,461,908
344.60432882882884,461,905
344.64612837837836,462,905
344.68792792792794,462,904
344.72972747747747,461,903
344.77152702702705,460,902
344.81332657657657,458,901
344.85512612612615,456,901
344.8969256756757,455,901
344.9387252252252,452,900
344.9805247747748,449,900
345.0223243243243,446,900
345.0641238738739,444,900
345.1059234234234,440,900
345.147722972973,435,899
345.1895225225225,432,898
345.2313220720721,430,898
345.2731216216216,429,898
345.3149211711712,428,897
345.3567207207207,430,898
345.3985202702703,430,899
345.4403198198198,429,901
345.48211936936934,427,902
345.5239189189189,427,904
345.56571846846845,426,905
345.607518018018,425,904
345.64931756756755,425,904
345.69111711711713,424,903
345.73291666666665,423,904
345.77471621621623,420,905
345.81651576576576,418,906
345.85831531531534,417,907
345.90011486486486,416,908
345.94191441441444,415,909
345.98371396396396,412,908
346.0255135135135,410,908
346.06731306306307,410,910
346.1091126126126,410,911
346.1509121621622,409,911
346.1927117117117,410,911
346.2345112612613,410,910
346.2763108108108,410,910
346.3181103603604,409,910
346.3599099099099,410,910
346.4017094594595,410,908
346.443509009009,410,906
346.4853085585586,410,905
346.5271081081081,409,904
346.56890765765763,409,903
346.6107072072072,409,903
346.65250675675674,409,902
346.6943063063063,409,901
346.73610585585584,408,900
346.7779054054054,406,899
346.81970495495494,405,900
346.8615045045045,404,900
346.90330405405405,403,901
346.9451036036036,401,902
