at_run,dance_by,L
1,hold,124
1,hold,222
1,hold,162
1,hold,260
2,no,160
2,no,330
2,hold,243
2,no,191
2,hold,220
2,no,204
2,no,552
10,hold,165
10,hold,240
10,hold,305
10,hold,229
2,no,193
2,hold,251
2,hold,847
2,hold,261
2,no,139
1,no,170
10,hold,205
1,hold,215
10,hold,237
1,hold,276
10,hold,374
10,hold,247
1,hold,109
2,no,259
2,no,283
