t,i,j
455.0,515,708
455.0416666666667,515,708
455.0833333333333,515,708
455.125,516,708
455.1666666666667,516,708
455.2083333333333,516,709
455.25,516,709
455.2916666666667,517,710
455.3333333333333,517,710
455.375,518,711
455.4166666666667,522,712
455.4583333333333,523,712
455.5,525,712
455.5416666666667,526,712
455.5833333333333,527,713
455.625,527,714
455.6666666666667,527,714
455.7083333333333,528,715
455.75,528,715
455.7916666666667,529,716
455.8333333333333,530,718
455.875,531,720
455.9166666666667,532,721
455.9583333333333,534,722
456.0,537,724
456.0416666666667,538,725
456.0833333333333,539,726
456.125,540,727
456.1666666666667,540,728
456.2083333333333,540,729
456.25,540,732
456.2916666666667,541,735
456.3333333333333,542,738
456.375,542,739
456.4166666666667,544,739
456.4583333333333,545,740
456.5,547,741
456.5416666666667,549,741
456.5833333333333,550,742
456.625,552,743
456.6666666666667,553,744
456.7083333333333,554,745
456.75,555,747
456.7916666666667,555,749
456.8333333333333,554,752
456.875,553,756
456.9166666666667,551,758
456.9583333333333,549,760
457.0,547,761
457.0416666666667,546,764
457.0833333333333,543,766
457.125,540,767
457.1666666666667,538,767
457.2083333333333,535,767
457.25,535,768
457.2916666666667,536,768
457.3333333333333,536,768
457.375,536,769
457.4166666666667,536,769
457.4583333333333,536,769
457.5,536,770
457.5416666666667,535,770
457.5833333333333,535,770
457.625,535,770
457.6666666666667,535,770
457.7083333333333,535,770
457.75,536,769
457.7916666666667,536,769
457.8333333333333,537,769
457.875,538,769
457.9166666666667,538,769
457.9583333333333,550,775
458.0,550,774
458.0416666666667,549,774
458.0833333333333,549,772
458.125,548,771
458.1666666666667,548,769
458.2083333333333,547,768
458.25,546,766
458.2916666666667,546,764
458.3333333333333,546,762
458.375,545,761
458.4166666666667,543,759
458.4583333333333,542,758
458.5,540,757
458.5416666666667,539,756
458.5833333333333,538,755
458.625,537,754
458.6666666666667,537,753
458.7083333333333,536,752
458.75,535,750
458.7916666666667,535,747
458.8333333333333,534,744
458.875,533,742
458.9166666666667,532,741
458.9583333333333,530,739
459.0,528,738
459.0416666666667,527,738
459.0833333333333,525,737
459.125,523,737
459.1666666666667,521,736
459.2083333333333,519,735
459.25,518,734
459.2916666666667,518,733
459.3333333333333,519,732
459.375,521,731
459.4166666666667,521,729
459.4583333333333,520,729
459.5,519,729
459.5416666666667,519,728
459.5833333333333,519,728
459.625,518,728
459.6666666666667,517,727
459.7083333333333,516,726
459.75,516,725
459.7916666666667,517,723
459.8333333333333,518,721
459.875,521,721
459.9166666666667,522,720
459.9583333333333,523,720
460.0,524,720
460.0416666666667,524,719
460.0833333333333,525,719
460.125,525,718
460.1666666666667,525,717
460.2083333333333,524,717
460.25,523,717
460.2916666666667,521,717
460.3333333333333,520,718
460.375,518,718
460.4166666666667,514,719
460.4583333333333,512,719
460.5,510,719
460.5416666666667,509,718
460.5833333333333,508,718
460.625,508,717
460.6666666666667,508,717
460.7083333333333,508,717
460.75,508,717
460.7916666666667,508,717
460.8333333333333,507,717
460.875,507,717
460.9166666666667,507,717
460.9583333333333,506,716
461.0,507,716
461.0416666666667,507,715
461.0833333333333,507,714
461.125,506,713
461.1666666666667,506,712
461.2083333333333,506,712
461.25,505,711
461.2916666666667,503,709
