t,i,j
109.0,500,737
109.04166666666667,500,737
109.08333333333333,500,737
109.125,501,736
109.16666666666667,501,736
109.20833333333333,502,736
109.25,503,736
109.29166666666667,504,737
109.33333333333333,505,737
109.375,507,738
109.41666666666667,509,739
109.45833333333333,512,740
109.5,515,743
109.54166666666667,516,744
109.58333333333333,517,744
109.625,519,746
109.66666666666667,522,748
109.70833333333333,524,749
109.75,527,750
109.79166666666667,530,751
109.83333333333333,530,751
109.875,529,751
109.91666666666667,529,750
109.95833333333333,529,750
110.0,529,750
110.04166666666667,529,750
110.08333333333333,529,750
110.125,529,750
110.16666666666667,530,750
110.20833333333333,530,750
110.25,531,749
110.29166666666667,533,748
110.33333333333333,536,746
110.375,539,743
110.41666666666667,540,742
110.45833333333333,541,740
110.5,545,738
110.54166666666667,547,737
110.58333333333333,549,737
110.625,552,737
110.66666666666667,554,737
110.70833333333333,555,736
110.75,556,735
110.79166666666667,557,734
110.83333333333333,559,734
110.875,560,734
110.91666666666667,561,735
110.95833333333333,563,735
111.0,564,737
111.04166666666667,566,738
111.08333333333333,567,739
111.125,567,740
111.16666666666667,568,740
111.20833333333333,570,740
111.25,571,740
111.29166666666667,572,740
111.33333333333333,573,740
111.375,574,739
111.41666666666667,575,737
111.45833333333333,575,737
111.5,577,734
111.54166666666667,578,733
111.58333333333333,579,731
111.625,581,729
111.66666666666667,584,727
111.70833333333333,587,726
111.75,589,724
111.79166666666667,591,723
111.83333333333333,593,722
111.875,593,721
111.91666666666667,593,720
111.95833333333333,592,719
112.0,591,719
112.04166666666667,592,719
112.08333333333333,593,719
112.125,594,719
112.16666666666667,594,719
112.20833333333333,595,718
112.25,596,718
112.29166666666667,596,718
112.33333333333333,596,718
112.375,597,718
112.41666666666667,598,718
112.45833333333333,599,717
112.5,600,716
112.54166666666667,601,715
112.58333333333333,602,715
112.625,603,715
112.66666666666667,604,714
112.70833333333333,605,714
112.75,606,714
112.79166666666667,608,713
112.83333333333333,611,713
112.875,614,713
112.91666666666667,617,712
112.95833333333333,620,712
113.0,623,712
113.04166666666667,626,711
113.08333333333333,628,711
113.125,627,711
113.16666666666667,627,711
113.20833333333333,628,710
113.25,628,710
113.29166666666667,628,710
113.33333333333333,628,710
113.375,628,710
113.41666666666667,628,710
113.45833333333333,629,710
113.5,631,712
113.54166666666667,632,713
113.58333333333333,634,715
113.625,637,717
113.66666666666667,638,718
113.70833333333333,639,718
113.75,640,718
113.79166666666667,642,716
113.83333333333333,643,715
113.875,644,715
113.91666666666667,644,714
113.95833333333333,645,714
114.0,646,712
114.04166666666667,646,710
114.08333333333333,648,709
114.125,650,707
114.16666666666667,652,704
114.20833333333333,654,702
114.25,655,700
114.29166666666667,656,698
114.33333333333333,657,697
114.375,658,697
114.41666666666667,659,698
114.45833333333333,660,699
114.5,662,699
114.54166666666667,662,699
114.58333333333333,662,698
114.625,662,699
114.66666666666667,662,699
114.70833333333333,663,698
114.75,663,698
114.79166666666667,664,699
114.83333333333333,666,699
114.875,668,699
114.91666666666667,672,700
114.95833333333333,675,699
115.0,678,698
115.04166666666667,680,697
115.08333333333333,681,696
115.125,682,696
115.16666666666667,684,697
115.20833333333333,685,697
115.25,686,697
115.29166666666667,687,696
115.33333333333333,688,695
115.375,689,695
115.41666666666667,690,695
115.45833333333333,693,694
115.5,698,694
115.54166666666667,701,694
115.58333333333333,703,693
115.625,702,692
115.66666666666667,702,692
115.70833333333333,702,693
115.75,703,693
115.79166666666667,703,693
115.83333333333333,703,692
115.875,703,692
115.91666666666667,703,692
115.95833333333333,703,692
116.0,703,692
116.04166666666667,704,694
116.08333333333333,704,695
116.125,704,698
116.16666666666667,705,700
116.20833333333333,707,701
116.25,708,701
116.29166666666667,709,701
116.33333333333333,710,702
116.375,711,702
116.41666666666667,712,703
116.45833333333333,714,704
116.5,718,704
116.54166666666667,720,705
116.58333333333333,720,705
116.625,720,706
116.66666666666667,720,708
116.70833333333333,720,710
116.75,721,713
116.79166666666667,723,715
116.83333333333333,724,716
116.875,725,717
116.91666666666667,726,718
