t,i,j
429.0,491,734
429.0416666666667,490,734
429.0833333333333,490,732
429.125,489,731
429.1666666666667,487,730
429.2083333333333,485,729
429.25,483,728
429.2916666666667,481,727
429.3333333333333,479,727
429.375,477,727
429.4166666666667,472,726
429.4583333333333,471,726
429.5,470,725
429.5416666666667,472,725
429.5833333333333,473,725
429.625,475,726
429.6666666666667,475,725
429.7083333333333,475,725
429.75,474,725
429.7916666666667,474,724
429.8333333333333,474,724
429.875,474,724
429.9166666666667,475,723
429.9583333333333,475,722
430.0,475,721
430.0416666666667,475,721
430.0833333333333,475,721
430.125,475,720
430.1666666666667,475,720
430.2083333333333,474,720
430.25,473,719
430.2916666666667,473,717
430.3333333333333,471,717
430.375,470,716
430.4166666666667,467,715
430.4583333333333,467,715
430.5,467,714
430.5416666666667,467,714
430.5833333333333,467,714
430.625,468,714
430.6666666666667,468,713
430.7083333333333,469,714
430.75,469,713
430.7916666666667,469,713
430.8333333333333,469,713
430.875,469,712
430.9166666666667,469,711
430.9583333333333,469,710
431.0,469,710
431.0416666666667,468,709
431.0833333333333,468,708
431.125,467,707
431.1666666666667,466,706
431.2083333333333,466,705
431.25,466,704
431.2916666666667,465,703
431.3333333333333,465,701
431.375,466,700
431.4166666666667,467,696
431.4583333333333,469,695
431.5,471,695
431.5416666666667,472,695
431.5833333333333,474,694
431.625,475,693
431.6666666666667,478,692
431.7083333333333,479,691
431.75,480,691
431.7916666666667,481,691
431.8333333333333,481,691
431.875,481,691
431.9166666666667,481,691
431.9583333333333,480,691
432.0,480,691
432.0416666666667,480,690
432.0833333333333,480,690
432.125,480,690
432.1666666666667,480,689
432.2083333333333,480,689
432.25,479,688
432.2916666666667,479,688
432.3333333333333,478,687
432.375,478,686
432.4166666666667,477,686
432.4583333333333,477,685
432.5,477,684
432.5416666666667,476,683
432.5833333333333,475,682
432.625,474,681
432.6666666666667,471,680
432.7083333333333,468,679
432.75,465,679
432.7916666666667,464,679
432.8333333333333,465,678
432.875,466,678
432.9166666666667,467,679
432.9583333333333,467,679
433.0,467,679
433.0416666666667,468,679
433.0833333333333,468,679
