t,i,j
298.816,516,711
298.85766666666666,516,711
298.89933333333335,516,711
298.941,516,710
298.98266666666666,516,710
299.02433333333335,515,709
299.066,515,709
299.10766666666666,515,709
299.14933333333335,515,709
299.191,515,709
299.23266666666666,515,709
299.27433333333335,515,709
299.316,515,709
299.35766666666666,515,709
299.39933333333335,515,709
299.441,515,709
299.48266666666666,515,709
299.52433333333335,515,709
299.566,515,710
299.60766666666666,516,711
299.64933333333335,516,711
299.691,517,712
299.73266666666666,518,714
299.77433333333335,518,715
299.816,517,715
299.85766666666666,516,718
299.89933333333335,514,720
299.941,514,721
299.98266666666666,513,723
300.02433333333335,513,724
300.066,513,725
300.10766666666666,514,725
300.14933333333335,514,726
300.191,515,726
300.23266666666666,516,726
300.27433333333335,518,727
300.316,520,727
300.35766666666666,523,728
300.39933333333335,525,729
300.441,527,730
300.48266666666666,529,730
300.52433333333335,530,730
300.566,532,730
300.60766666666666,533,730
300.64933333333335,533,730
300.691,532,730
300.73266666666666,532,730
300.77433333333335,531,730
300.816,531,730
300.85766666666666,529,730
300.89933333333335,527,731
300.941,526,732
300.98266666666666,526,733
301.02433333333335,526,734
301.066,527,735
301.10766666666666,528,736
301.14933333333335,529,739
301.191,530,742
301.23266666666666,533,745
301.27433333333335,535,747
301.316,537,749
301.35766666666666,536,749
301.39933333333335,535,750
301.441,534,750
301.48266666666666,534,751
301.52433333333335,534,751
301.566,535,753
301.60766666666666,536,756
301.64933333333335,537,757
301.691,537,760
301.73266666666666,537,763
301.77433333333335,537,763
301.816,519,784
301.85766666666666,519,784
301.89933333333335,519,784
301.941,519,784
301.98266666666666,519,783
302.02433333333335,520,783
302.066,519,783
302.10766666666666,519,782
302.14933333333335,519,781
302.191,519,779
302.23266666666666,519,778
302.27433333333335,521,776
302.316,522,775
302.35766666666666,523,775
302.39933333333335,524,773
302.441,524,772
302.48266666666666,524,770
302.52433333333335,524,769
302.566,524,767
302.60766666666666,525,766
302.64933333333335,525,765
302.691,525,764
302.73266666666666,525,764
302.77433333333335,526,763
302.816,528,762
302.85766666666666,529,760
302.89933333333335,531,759
302.941,532,759
302.98266666666666,533,759
303.02433333333335,533,758
303.066,533,758
303.10766666666666,533,757
303.14933333333335,532,757
303.191,532,757
303.23266666666666,532,757
303.27433333333335,534,756
303.316,536,755
303.35766666666666,538,755
303.39933333333335,540,755
303.441,541,756
303.48266666666666,543,757
303.52433333333335,543,757
303.566,544,756
303.60766666666666,543,755
303.64933333333335,542,753
303.691,540,752
303.73266666666666,538,750
303.77433333333335,537,749
303.816,537,747
303.85766666666666,537,746
303.89933333333335,537,746
303.941,538,745
303.98266666666666,539,745
304.02433333333335,539,744
304.066,540,743
304.10766666666666,541,742
304.14933333333335,543,741
304.191,545,740
304.23266666666666,545,740
304.27433333333335,547,738
304.316,549,737
304.35766666666666,551,736
304.39933333333335,554,736
304.441,555,735
304.48266666666666,556,735
304.52433333333335,557,736
304.566,559,736
304.60766666666666,560,737
304.64933333333335,562,738
304.691,564,740
304.73266666666666,564,740
304.77433333333335,564,739
304.816,564,739
304.85766666666666,565,737
304.89933333333335,565,737
304.941,566,736
304.98266666666666,566,735
305.02433333333335,568,734
305.066,570,733
305.10766666666666,571,733
305.14933333333335,573,732
305.191,575,731
305.23266666666666,575,730
305.27433333333335,579,727
305.316,581,727
305.35766666666666,584,727
305.39933333333335,587,727
305.441,588,728
305.48266666666666,588,728
305.52433333333335,588,727
305.566,587,727
305.60766666666666,587,726
305.64933333333335,587,725
305.691,587,724
305.73266666666666,587,723
305.77433333333335,586,721
305.816,586,721
305.85766666666666,587,720
305.89933333333335,588,720
305.941,591,720
305.98266666666666,592,721
306.02433333333335,594,721
306.066,596,722
306.10766666666666,598,722
306.14933333333335,599,722
306.191,600,722
306.23266666666666,600,722
306.27433333333335,600,721
306.316,600,720
306.35766666666666,601,719
306.39933333333335,601,718
306.441,602,717
306.48266666666666,604,717
306.52433333333335,606,716
306.566,607,716
306.60766666666666,609,717
306.64933333333335,611,717
306.691,612,718
306.73266666666666,613,718
306.77433333333335,614,718
306.816,615,717
306.85766666666666,616,716
306.89933333333335,615,714
306.941,615,712
306.98266666666666,614,711
307.02433333333335,614,710
307.066,614,709
307.10766666666666,614,709
307.14933333333335,615,708
307.191,615,708
307.23266666666666,617,707
307.27433333333335,621,706
307.316,624,705
307.35766666666666,626,704
307.39933333333335,627,703
307.441,628,701
307.48266666666666,629,701
307.52433333333335,629,701
307.566,630,700
307.60766666666666,631,700
307.64933333333335,632,699
307.691,635,697
307.73266666666666,638,696
307.77433333333335,641,695
307.816,644,693
307.85766666666666,645,690
307.89933333333335,645,690
307.941,646,690
307.98266666666666,646,691
308.02433333333335,647,690
308.066,646,689
308.10766666666666,645,688
308.14933333333335,644,687
308.191,643,686
308.23266666666666,642,685
308.27433333333335,641,682
308.316,640,681
308.35766666666666,640,680
308.39933333333335,641,678
308.441,642,676
308.48266666666666,643,674
308.52433333333335,644,672
308.566,644,671
308.60766666666666,645,669
308.64933333333335,645,668
308.691,645,667
308.73266666666666,646,666
308.77433333333335,648,665
308.816,651,664
308.85766666666666,655,662
308.89933333333335,656,661
308.941,656,661
308.98266666666666,657,661
309.02433333333335,658,661
309.066,660,661
309.10766666666666,661,661
309.14933333333335,662,661
309.191,662,660
309.23266666666666,663,659
309.27433333333335,663,657
309.316,662,656
309.35766666666666,662,655
309.39933333333335,663,655
309.441,664,654
309.48266666666666,665,654
309.52433333333335,666,653
309.566,667,652
309.60766666666666,668,651
309.64933333333335,669,650
309.691,670,648
309.73266666666666,671,646
309.77433333333335,672,644
309.816,671,643
309.85766666666666,669,642
309.89933333333335,668,641
309.941,668,639
309.98266666666666,668,638
310.02433333333335,669,636
310.066,669,634
310.10766666666666,670,633
310.14933333333335,671,631
310.191,672,631
310.23266666666666,674,630
310.27433333333335,676,630
310.316,677,628
310.35766666666666,678,627
310.39933333333335,678,626
310.441,679,625
310.48266666666666,680,623
310.52433333333335,680,621
310.566,681,619
310.60766666666666,684,616
310.64933333333335,685,614
310.691,687,612
310.73266666666666,688,610
310.77433333333335,688,609
310.816,689,608
310.85766666666666,689,607
310.89933333333335,689,605
310.941,688,604
310.98266666666666,687,604
311.02433333333335,687,603
311.066,688,602
311.10766666666666,689,602
311.14933333333335,691,601
311.191,694,600
311.23266666666666,697,598
311.27433333333335,701,598
311.316,702,598
311.35766666666666,704,597
311.39933333333335,707,596
311.441,711,595
311.48266666666666,715,595
311.52433333333335,719,594
311.566,722,592
311.60766666666666,724,591
311.64933333333335,726,591
311.691,727,592
311.73266666666666,727,593
311.77433333333335,726,592
311.816,726,592
311.85766666666666,726,592
311.89933333333335,725,591
311.941,725,591
311.98266666666666,725,591
312.02433333333335,725,591
312.066,725,591
312.10766666666666,725,590
312.14933333333335,725,590
312.191,725,589
312.23266666666666,726,587
312.27433333333335,726,583
312.316,727,581
312.35766666666666,727,580
312.39933333333335,728,579
312.441,728,577
312.48266666666666,727,575
312.52433333333335,726,574
312.566,725,573
312.60766666666666,724,571
312.64933333333335,722,569
312.691,720,567
312.73266666666666,719,566
312.77433333333335,720,565
312.816,721,565
312.85766666666666,722,565
312.89933333333335,722,565
312.941,722,565
312.98266666666666,722,566
313.02433333333335,723,566
313.066,724,566
313.10766666666666,725,566
313.14933333333335,726,565
313.191,727,565
313.23266666666666,727,565
313.27433333333335,730,563
313.316,730,561
313.35766666666666,730,559
313.39933333333335,729,558
313.441,729,555
313.48266666666666,728,553
313.52433333333335,729,551
313.566,731,549
313.60766666666666,732,546
313.64933333333335,734,543
313.691,735,541
313.73266666666666,735,540
313.77433333333335,735,539
313.816,735,539
313.85766666666666,735,538
313.89933333333335,736,537
313.941,735,536
313.98266666666666,735,535
314.02433333333335,735,534
314.066,734,533
314.10766666666666,734,532
314.14933333333335,735,531
314.191,736,530
314.23266666666666,738,529
314.27433333333335,744,525
314.316,746,524
314.35766666666666,747,523
314.39933333333335,748,522
314.441,748,520
314.48266666666666,747,519
314.52433333333335,747,517
314.566,746,515
314.60766666666666,746,513
314.64933333333335,746,512
314.691,747,510
314.73266666666666,748,509
314.77433333333335,751,507
314.816,754,506
314.85766666666666,756,506
314.89933333333335,757,505
314.941,757,505
314.98266666666666,757,504
315.02433333333335,756,502
315.066,756,499
315.10766666666666,754,497
315.14933333333335,751,495
315.191,748,493
315.23266666666666,748,492
315.27433333333335,751,489
315.316,753,488
315.35766666666666,756,486
315.39933333333335,760,485
315.441,763,483
315.48266666666666,765,480
315.52433333333335,767,477
315.566,767,477
315.60766666666666,766,477
315.64933333333335,766,476
315.691,766,476
315.73266666666666,766,476
315.77433333333335,766,476
315.816,766,475
315.85766666666666,768,474
315.89933333333335,770,472
315.941,772,470
315.98266666666666,775,469
316.02433333333335,778,468
316.066,780,467
316.10766666666666,784,465
316.14933333333335,786,464
316.191,787,464
316.23266666666666,788,463
316.27433333333335,791,459
316.316,791,459
316.35766666666666,792,459
316.39933333333335,793,459
316.441,793,459
316.48266666666666,794,459
316.52433333333335,794,459
316.566,795,458
316.60766666666666,795,458
316.64933333333335,795,458
316.691,796,457
316.73266666666666,797,456
316.77433333333335,798,455
316.816,799,453
316.85766666666666,799,451
316.89933333333335,799,448
316.941,799,446
316.98266666666666,798,444
317.02433333333335,797,442
317.066,796,441
317.10766666666666,795,439
317.14933333333335,794,438
317.191,793,437
317.23266666666666,792,436
317.27433333333335,792,434
317.316,792,434
317.35766666666666,793,434
317.39933333333335,794,433
317.441,794,432
317.48266666666666,795,431
317.52433333333335,797,431
317.566,799,430
317.60766666666666,802,429
317.64933333333335,806,427
317.691,809,426
317.73266666666666,810,426
317.77433333333335,810,427
317.816,810,426
317.85766666666666,808,424
317.89933333333335,806,423
317.941,804,421
317.98266666666666,802,421
318.02433333333335,802,421
318.066,805,420
318.10766666666666,808,419
318.14933333333335,809,418
318.191,810,416
318.23266666666666,809,414
318.27433333333335,810,410
318.316,813,408
318.35766666666666,814,407
318.39933333333335,816,407
318.441,818,407
318.48266666666666,818,407
318.52433333333335,818,407
318.566,818,407
318.60766666666666,817,407
318.64933333333335,818,406
318.691,818,407
318.73266666666666,819,407
318.77433333333335,818,407
318.816,818,406
318.85766666666666,818,405
318.89933333333335,817,405
318.941,818,404
318.98266666666666,818,403
319.02433333333335,819,402
319.066,819,402
319.10766666666666,820,402
319.14933333333335,822,401
319.191,823,400
319.23266666666666,825,400
319.27433333333335,827,399
319.316,828,397
319.35766666666666,829,396
319.39933333333335,830,393
319.441,831,391
319.48266666666666,832,390
319.52433333333335,833,390
319.566,835,390
319.60766666666666,837,390
319.64933333333335,840,390
319.691,844,390
319.73266666666666,846,390
