t,i,j
942.0,463,715
942.0416666666666,471,718
942.0833333333334,470,717
942.125,471,716
942.1666666666666,472,713
942.2083333333334,473,712
942.25,474,711
942.2916666666666,476,709
942.3333333333334,477,708
942.375,478,707
942.4166666666666,478,704
942.4583333333334,478,702
942.5,478,701
942.5416666666666,479,700
942.5833333333334,479,699
942.625,480,698
942.6666666666666,482,696
942.7083333333334,484,694
942.75,487,691
942.7916666666666,490,690
942.8333333333334,490,689
942.875,490,688
942.9166666666666,490,688
942.9583333333334,491,687
943.0,492,686
943.0416666666666,494,684
943.0833333333334,494,683
943.125,495,681
943.1666666666666,494,677
943.2083333333334,495,677
943.25,497,677
943.2916666666666,497,677
943.3333333333334,497,676
943.375,497,673
943.4166666666666,497,671
943.4583333333334,497,669
943.5,492,662
943.5416666666666,482,653
943.5833333333334,475,661
943.625,476,656
943.6666666666666,485,652
943.7083333333334,477,642
943.75,477,638
943.7916666666666,477,638
943.8333333333334,478,638
943.875,478,638
943.9166666666666,478,638
943.9583333333334,478,638
944.0,478,638
944.0416666666666,478,639
944.0833333333334,478,639
944.125,478,639
944.1666666666666,478,639
944.2083333333334,479,640
944.25,478,640
944.2916666666666,478,640
944.3333333333334,478,640
944.375,478,641
944.4166666666666,479,642
944.4583333333334,479,642
944.5,479,643
944.5416666666666,479,643
944.5833333333334,479,644
944.625,479,644
944.6666666666666,480,644
944.7083333333334,480,645
944.75,480,646
944.7916666666666,480,647
944.8333333333334,480,649
944.875,480,652
944.9166666666666,479,654
944.9583333333334,479,658
945.0,480,661
945.0416666666666,480,662
945.0833333333334,480,662
945.125,479,662
945.1666666666666,479,664
945.2083333333334,478,664
945.25,477,665
945.2916666666666,477,667
945.3333333333334,478,669
945.375,479,672
945.4166666666666,478,674
945.4583333333334,477,676
945.5,475,678
945.5416666666666,475,678
945.5833333333334,476,680
945.625,478,682
945.6666666666666,478,683
945.7083333333334,478,684
945.75,477,685
945.7916666666666,476,686
945.8333333333334,476,686
945.875,476,687
945.9166666666666,477,689
945.9583333333334,478,690
946.0,479,693
946.0416666666666,479,696
946.0833333333334,479,700
946.125,479,701
946.1666666666666,480,702
946.2083333333334,480,702
946.25,480,702
946.2916666666666,481,703
946.3333333333334,481,703
946.375,481,703
946.4166666666666,482,704
946.4583333333334,481,704
946.5,480,705
946.5416666666666,479,705
946.5833333333334,478,706
946.625,476,708
946.6666666666666,475,710
946.7083333333334,473,711
946.75,472,713
946.7916666666666,472,716
946.8333333333334,471,719
946.875,471,721
946.9166666666666,470,722
946.9583333333334,469,724
947.0,469,726
947.0416666666666,470,728
947.0833333333334,471,730
947.125,473,732
947.1666666666666,479,736
947.2083333333334,481,737
947.25,481,737
947.2916666666666,478,737
947.3333333333334,477,736
947.375,478,737
947.4166666666666,478,737
947.4583333333334,478,738
947.5,478,739
947.5416666666666,478,740
947.5833333333334,478,740
947.625,477,741
947.6666666666666,476,742
947.7083333333334,476,744
947.75,477,748
947.7916666666666,477,753
947.8333333333334,476,756
