dance_by,r,color,mean_resultant_vector,lower,upper
disrupt,5.0,"RGB{N0f8}(0.0, 0.153, 0.706)",0.25161436826925365,0.11804217230956088,0.43815779837712493
disrupt,5.232323232323233,"RGB{N0f8}(0.0, 0.153, 0.706)",0.25058198577281054,0.11801222286430076,0.43544922294857125
disrupt,5.4646464646464645,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24955760087703244,0.11782398766605724,0.43299524545494883
disrupt,5.696969696969697,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24847242730788915,0.11773253321914313,0.4304151928853317
disrupt,5.929292929292929,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2473184641557738,0.11743702688115853,0.428018556959095
disrupt,6.161616161616162,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2462713735386397,0.11718664811894379,0.425666899139575
disrupt,6.393939393939394,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24518430167457994,0.11675059744161981,0.42270525333786957
disrupt,6.626262626262626,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2439498479915439,0.1164859831281124,0.42014322302714563
disrupt,6.858585858585859,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24287971787909834,0.11601243043302956,0.41739001905730666
disrupt,7.090909090909091,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24187506226244895,0.1156165602075563,0.4143929716732112
disrupt,7.3232323232323235,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2409399569591981,0.1155228018446277,0.41158389411840535
disrupt,7.555555555555555,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24010766264521433,0.11536804394538527,0.41002953617884585
disrupt,7.787878787878788,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23901456325836457,0.11509248793546903,0.4073883127451111
disrupt,8.02020202020202,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23787970036934664,0.11482554816251792,0.40546105069759325
disrupt,8.252525252525253,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2368272898222859,0.11448600282633475,0.4033592949032971
disrupt,8.484848484848484,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23591292694295501,0.11378858405432767,0.4014023218983867
disrupt,8.717171717171718,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23512306040542919,0.11347861545982262,0.3991354630280795
disrupt,8.94949494949495,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23404717722037308,0.11316882350339702,0.39644750610831264
disrupt,9.181818181818182,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23309124495208788,0.11290491156604199,0.3940278475633086
disrupt,9.414141414141413,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23198676019232684,0.11264016426411964,0.3920105206531368
disrupt,9.646464646464647,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23096952769463158,0.11237049001021401,0.3900270150797164
disrupt,9.878787878787879,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2299235105152384,0.11201342535657027,0.38815574028277927
disrupt,10.11111111111111,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22880364202154302,0.11174876316905329,0.38588482916133127
disrupt,10.343434343434344,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2277687655665073,0.11154848321314025,0.3831004143184695
disrupt,10.575757575757576,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22695713726989164,0.11115199075757891,0.380394147263694
disrupt,10.808080808080808,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22598478174190534,0.11073895656168697,0.3782033697323163
disrupt,11.04040404040404,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22493354715446806,0.110178007329642,0.3766660090589847
