light,r,color,mean_resultant_vector,lower,upper
dark,5.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7704334215123327,0.6693044605525086,0.8505193465905303
dark,5.232323232323233,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7681640102596621,0.6674440358014575,0.848419482104723
dark,5.4646464646464645,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7659188091033792,0.6654702369648539,0.8460595931056739
dark,5.696969696969697,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7638648498310936,0.663513702504082,0.8437335377855336
dark,5.929292929292929,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7616687606101453,0.6616961836307808,0.841809632897952
dark,6.161616161616162,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7593969310211912,0.6598488755880122,0.8395558172219887
dark,6.393939393939394,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7570503995680482,0.6578602585622517,0.837037265772712
dark,6.626262626262626,"RGB{N0f8}(0.502, 0.502, 0.502)",0.754778323993351,0.6565055924602023,0.8349728047591904
dark,6.858585858585859,"RGB{N0f8}(0.502, 0.502, 0.502)",0.752555084018835,0.6547516525642443,0.8325826802720768
dark,7.090909090909091,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7503406209301748,0.6528881814093693,0.8304732418876087
dark,7.3232323232323235,"RGB{N0f8}(0.502, 0.502, 0.502)",0.748085877570339,0.6509262746879525,0.8281949741572734
dark,7.555555555555555,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7457776339836337,0.6485598115019211,0.8258958445324271
dark,7.787878787878788,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7434387010615058,0.6460637232040316,0.8236619260004068
dark,8.02020202020202,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7410762277866112,0.6443332510581679,0.8214953957985528
dark,8.252525252525253,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7387465809702,0.6425127192452386,0.8191862984303099
dark,8.484848484848484,"RGB{N0f8}(0.502, 0.502, 0.502)",0.736434292989168,0.6405089240687432,0.8168733819096062
dark,8.717171717171718,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7341605264408957,0.6385392293350485,0.8145632691261169
dark,8.94949494949495,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7319263241543716,0.6368079590182821,0.8124815522754409
dark,9.181818181818182,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7295714802286735,0.6350684442825976,0.810098542261755
dark,9.414141414141413,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7271767644787552,0.6329694862517449,0.8075216750048722
dark,9.646464646464647,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7248102664701652,0.6306412996030537,0.8052220142755505
dark,9.878787878787879,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7222371070244622,0.628433549456564,0.8026866326138485
