t,i,j
152.0,454,695
152.04255319148936,453,694
152.08510638297872,454,692
152.12765957446808,455,690
152.17021276595744,455,689
152.2127659574468,455,688
152.25531914893617,455,688
152.29787234042553,454,688
152.3404255319149,454,687
152.38297872340425,453,686
152.4255319148936,452,684
152.46808510638297,451,681
152.51063829787233,450,679
152.5531914893617,451,679
152.59574468085106,452,679
152.63829787234042,453,678
152.68085106382978,453,677
152.72340425531914,454,676
152.7659574468085,454,675
152.80851063829786,455,674
152.85106382978722,456,673
152.89361702127658,457,672
152.93617021276594,458,670
152.9787234042553,459,668
153.0212765957447,459,665
153.06382978723406,460,662
153.10638297872342,460,661
153.14893617021278,459,659
153.19148936170214,459,658
153.2340425531915,459,658
153.27659574468086,459,658
153.31914893617022,460,658
153.36170212765958,462,657
153.40425531914894,464,655
153.4468085106383,465,655
153.48936170212767,466,653
153.53191489361703,467,650
153.5744680851064,468,650
153.61702127659575,469,650
153.6595744680851,469,648
153.70212765957447,468,647
153.74468085106383,467,645
153.7872340425532,465,644
153.82978723404256,462,643
153.87234042553192,457,643
153.91489361702128,454,641
153.95744680851064,451,639
154.0,449,637
154.04255319148936,469,623
154.08510638297872,476,621
154.12765957446808,478,621
154.17021276595744,479,621
154.2127659574468,480,621
154.25531914893617,481,620
154.29787234042553,483,619
154.3404255319149,485,618
154.38297872340425,488,616
154.4255319148936,488,617
154.46808510638297,488,617
154.51063829787233,488,617
154.5531914893617,489,617
154.59574468085106,490,617
154.63829787234042,490,618
154.68085106382978,491,618
154.72340425531914,492,617
154.7659574468085,494,617
154.80851063829786,497,617
154.85106382978722,499,617
154.89361702127658,501,616
154.93617021276594,502,616
154.9787234042553,503,616
155.0212765957447,504,616
155.06382978723406,505,616
155.10638297872342,506,616
155.14893617021278,507,617
155.19148936170214,508,617
155.2340425531915,510,618
155.27659574468086,512,619
155.31914893617022,513,621
155.36170212765958,515,623
155.40425531914894,518,625
155.4468085106383,521,625
155.48936170212767,523,625
155.53191489361703,523,626
155.5744680851064,524,627
155.61702127659575,525,628
155.6595744680851,526,629
155.70212765957447,527,630
155.74468085106383,528,631
155.7872340425532,530,633
155.82978723404256,530,634
155.87234042553192,530,636
155.91489361702128,530,637
155.95744680851064,529,637
156.0,529,638
156.04255319148936,528,638
156.08510638297872,528,639
156.12765957446808,528,640
156.17021276595744,528,640
156.2127659574468,529,641
156.25531914893617,529,641
156.29787234042553,530,642
156.3404255319149,530,642
156.38297872340425,529,641
156.4255319148936,529,641
156.46808510638297,529,641
156.51063829787233,529,641
156.5531914893617,529,641
156.59574468085106,530,641
156.63829787234042,530,641
156.68085106382978,530,641
156.72340425531914,531,642
156.7659574468085,531,642
156.80851063829786,531,642
156.85106382978722,532,642
156.89361702127658,532,642
156.93617021276594,533,644
156.9787234042553,534,645
157.0212765957447,536,646
157.06382978723406,538,646
157.10638297872342,540,646
157.14893617021278,543,647
157.19148936170214,545,649
157.2340425531915,546,649
157.27659574468086,545,649
157.31914893617022,546,650
157.36170212765958,546,650
157.40425531914894,547,650
157.4468085106383,548,650
157.48936170212767,551,650
157.53191489361703,552,650
157.5744680851064,554,650
157.61702127659575,554,654
157.6595744680851,553,656
157.70212765957447,552,658
157.74468085106383,551,659
157.7872340425532,550,660
157.82978723404256,549,662
157.87234042553192,548,663
157.91489361702128,546,665
157.95744680851064,544,666
158.0,543,667
158.04255319148936,543,668
158.08510638297872,542,669
158.12765957446808,541,670
158.17021276595744,541,671
158.2127659574468,542,672
158.25531914893617,543,672
158.29787234042553,543,673
158.3404255319149,543,673
158.38297872340425,543,673
158.4255319148936,542,674
158.46808510638297,542,674
158.51063829787233,540,675
158.5531914893617,539,676
158.59574468085106,536,677
158.63829787234042,535,679
158.68085106382978,535,679
158.72340425531914,534,680
158.7659574468085,533,680
158.80851063829786,532,680
158.85106382978722,531,681
158.89361702127658,529,682
158.93617021276594,529,683
158.9787234042553,528,685
159.0212765957447,528,687
159.06382978723406,528,690
159.10638297872342,528,691
159.14893617021278,527,692
159.19148936170214,526,692
159.2340425531915,523,693
159.27659574468086,520,695
159.31914893617022,518,697
159.36170212765958,515,699
159.40425531914894,515,700
159.4468085106383,516,701
159.48936170212767,517,702
159.53191489361703,518,703
159.5744680851064,518,704
159.61702127659575,518,705
159.6595744680851,517,706
159.70212765957447,516,707
159.74468085106383,515,707
159.7872340425532,512,706
159.82978723404256,508,704
159.87234042553192,504,702
159.91489361702128,499,700
159.95744680851064,496,699
