t,i,j
157.0,605,1001
157.04174,604,1000
157.08348,603,1001
157.12522,602,1001
157.16696,600,1001
157.2087,599,1001
157.25044,597,1000
157.29218,596,999
157.33392,595,997
157.37566,594,996
157.4174,592,995
157.45914,590,994
157.50088,584,992
157.54262,580,990
157.58436,576,989
157.6261,573,988
157.66784,572,988
157.70958,571,989
157.75132,571,989
157.79306,571,988
157.8348,571,988
157.87654,570,989
157.91828,568,989
157.96002,567,990
158.00176,564,991
158.0435,562,992
158.08524,560,992
158.12698,558,993
158.16872,557,994
158.21046,555,994
158.2522,554,994
158.29394,553,994
158.33568,551,995
158.37742,548,995
158.41916,545,996
158.4609,541,996
158.50264,536,996
158.54438,534,996
158.58612,533,996
158.62786,532,996
158.6696,531,996
158.71134,530,996
158.75308,528,996
158.79482,526,996
158.83656,522,996
158.8783,519,997
158.92004,516,997
158.96178,514,998
159.00352,510,999
159.04526,508,999
159.087,505,999
159.12874,505,999
159.17048,505,999
159.21222,504,1000
159.25396,503,1000
159.2957,501,1000
159.33744,500,1001
159.37918,499,1001
159.42092,498,1001
159.46266,496,1001
159.5044,494,1001
159.54614,493,1000
159.58788,492,1000
159.62962,492,1000
159.67136,491,1000
159.7131,489,1001
159.75484,482,996
159.79658,484,992
159.83832,474,982
159.88006,464,976
159.9218,454,976
159.96354,445,976
160.00528,445,975
160.04702,445,975
160.08876,444,975
160.1305,443,976
160.17224,442,976
160.21398,439,977
160.25572,434,978
160.29746,426,981
160.3392,422,984
160.38094,421,985
160.42268,422,985
160.46442,422,985
160.50616,422,985
160.5479,421,985
160.58964,421,985
160.63138,420,985
160.67312,420,986
160.71486,419,986
160.7566,418,987
160.79834,418,988
160.84008,417,989
160.88182,417,989
160.92356,418,990
160.9653,417,991
161.00704,416,993
161.04878,415,993
161.09052,415,994
161.13226,414,994
161.174,414,995
161.21574,414,995
161.25748,414,996
161.29922,413,997
161.34096,413,999
161.3827,414,1002
161.42444,414,1006
161.46618,414,1008
161.50792,414,1008
161.54966,414,1008
161.5914,414,1007
161.63314,414,1007
161.67488,413,1006
161.71662,413,1007
161.75836,413,1008
161.8001,413,1009
161.84184,413,1009
161.88358,413,1009
161.92532,413,1009
161.96706,413,1010
162.0088,413,1012
162.05054,412,1015
162.09228,411,1017
162.13402,411,1020
162.17576,411,1022
162.2175,411,1023
162.25924,411,1024
162.30098,411,1024
162.34272,411,1023
162.38446,411,1023
162.4262,411,1024
162.46794,411,1024
162.50968,410,1026
162.55142,409,1028
162.59316,409,1029
162.6349,408,1031
162.67664,407,1033
162.71838,407,1033
162.76012,407,1033
162.80186,407,1034
162.8436,406,1034
162.88534,406,1035
162.92708,406,1037
162.96882,406,1039
163.01056,406,1041
163.0523,406,1041
163.09404,406,1042
163.13578,406,1043
163.17752,406,1043
163.21926,407,1044
163.261,408,1045
163.30274,409,1047
163.34448,410,1049
163.38622,411,1050
163.42796,411,1051
163.4697,411,1052
163.51144,412,1054
163.55318,413,1056
163.59492,415,1060
163.63666,417,1063
163.6784,418,1065
163.72014,418,1066
163.76188,418,1066
163.80362,418,1067
163.84536,418,1067
163.8871,418,1067
163.92884,418,1067
163.97058,419,1068
164.01232,419,1069
164.05406,420,1070
164.0958,420,1071
164.13754,421,1072
164.17928,422,1072
164.22102,423,1073
164.26276,423,1072
164.3045,423,1072
164.34624,422,1073
164.38798,421,1073
164.42972,421,1074
164.47146,421,1074
164.5132,421,1074
164.55494,421,1075
164.59668,421,1075
164.63842,421,1076
164.68016,421,1076
164.7219,421,1076
164.76364,421,1077
164.80538,421,1078
164.84712,421,1078
164.88886,421,1079
164.9306,421,1080
164.97234,421,1081
165.01408,421,1082
165.05582,421,1083
165.09756,421,1084
165.1393,421,1084
165.18104,421,1086
165.22278,422,1088
165.26452,422,1089
165.30626,422,1090
165.348,422,1090
165.38974,422,1090
165.43148,423,1089
165.47322,423,1089
165.51496,423,1089
165.5567,422,1093
165.59844,415,1103
165.64018,411,1107
165.68192,412,1106
165.72366,412,1107
165.7654,413,1107
165.80714,413,1106
165.84888,414,1105
