t,i,j
104.825,545,1003
104.86686390532545,545,1004
104.90872781065089,547,1007
104.95059171597633,547,1008
104.99245562130177,547,1008
105.03431952662721,547,1008
105.07618343195266,547,1009
105.1180473372781,547,1011
105.15991124260356,548,1012
105.201775147929,548,1014
105.24363905325444,548,1015
105.28550295857988,548,1016
105.32736686390533,550,1019
105.36923076923077,552,1022
105.41109467455621,551,1025
105.45295857988165,551,1026
105.4948224852071,551,1026
105.53668639053254,551,1026
105.578550295858,551,1026
105.62041420118344,551,1026
105.66227810650888,552,1028
105.70414201183432,554,1030
105.74600591715976,556,1032
105.7878698224852,558,1034
105.82973372781065,558,1035
105.87159763313609,558,1036
105.91346153846153,559,1037
105.95532544378698,560,1038
105.99718934911243,560,1040
106.03905325443787,561,1040
106.08091715976332,561,1040
106.12278106508876,561,1041
106.1646449704142,563,1041
106.20650887573964,566,1044
106.24837278106509,570,1048
106.29023668639053,573,1051
106.33210059171597,574,1054
106.37396449704141,575,1056
106.41582840236687,577,1057
106.45769230769231,577,1058
106.49955621301775,577,1058
106.5414201183432,578,1058
106.58328402366864,578,1059
106.62514792899408,579,1059
106.66701183431952,578,1060
106.70887573964497,579,1061
106.75073964497041,580,1062
106.79260355029585,580,1064
106.83446745562131,581,1066
106.87633136094675,584,1060
106.91819526627219,584,1060
106.96005917159763,584,1061
107.00192307692308,584,1061
107.04378698224852,585,1062
107.08565088757396,586,1062
107.1275147928994,586,1062
107.16937869822485,588,1064
107.21124260355029,590,1067
107.25310650887575,592,1068
107.29497041420119,593,1070
107.33683431952663,592,1070
107.37869822485207,592,1070
107.42056213017752,593,1071
107.46242603550296,594,1071
107.5042899408284,595,1074
107.54615384615384,596,1077
107.58801775147928,606,1071
107.62988165680473,600,1080
107.67174556213018,590,1078
107.71360946745563,588,1068
107.75547337278107,597,1058
107.79733727810651,596,1051
107.83920118343195,596,1053
107.8810650887574,595,1052
107.92292899408284,594,1052
107.96479289940828,594,1052
108.00665680473372,595,1053
108.04852071005917,596,1054
108.09038461538462,596,1054
108.13224852071006,597,1055
108.1741124260355,598,1056
108.21597633136095,599,1057
108.25784023668639,599,1058
108.29970414201183,601,1060
108.34156804733728,603,1062
108.38343195266272,605,1065
108.42529585798816,606,1067
