t,i,j
455.0,515,708
455.0422535211268,516,708
455.0845070422535,516,708
455.1267605633803,516,708
455.16901408450707,516,708
455.2112676056338,517,709
455.2535211267606,517,709
455.2957746478873,517,710
455.3380281690141,518,711
455.38028169014086,519,711
455.4225352112676,523,712
455.46478873239437,524,712
455.50704225352115,526,713
455.5492957746479,528,713
455.59154929577466,528,713
455.63380281690144,528,714
455.67605633802816,528,715
455.71830985915494,529,715
455.76056338028167,530,716
455.80281690140845,530,717
455.84507042253523,531,718
455.88732394366195,533,721
455.92957746478874,534,722
455.9718309859155,537,724
456.01408450704224,539,725
456.056338028169,540,726
456.09859154929575,541,727
456.14084507042253,542,728
456.1830985915493,542,729
456.22535211267603,542,731
456.2676056338028,542,734
456.3098591549296,543,737
456.3521126760563,544,740
456.3943661971831,544,741
456.4366197183099,545,741
456.4788732394366,547,741
456.5211267605634,548,742
456.5633802816901,550,743
456.6056338028169,551,743
456.6478873239437,553,744
456.6901408450704,554,744
456.7323943661972,555,746
456.77464788732397,555,748
456.8169014084507,556,750
456.85915492957747,554,753
456.90140845070425,553,757
456.943661971831,551,759
456.98591549295776,549,760
457.0281690140845,547,762
457.07042253521126,546,764
457.11267605633805,543,766
457.15492957746477,540,767
457.19718309859155,538,767
457.23943661971833,535,768
457.28169014084506,535,768
457.32394366197184,536,768
457.36619718309856,536,768
457.40845070422534,536,769
457.4507042253521,536,769
457.49295774647885,536,769
457.53521126760563,536,770
457.5774647887324,535,770
457.61971830985914,535,770
457.6619718309859,535,770
457.7042253521127,535,770
457.7464788732394,535,769
457.7887323943662,536,769
457.83098591549293,536,769
457.8732394366197,537,769
457.9154929577465,538,769
457.9577464788732,550,774
458.0,550,774
458.0422535211268,550,774
458.0845070422535,549,773
458.1267605633803,548,772
458.16901408450707,548,770
458.2112676056338,547,769
458.2535211267606,547,767
458.2957746478873,546,765
458.3380281690141,546,764
458.38028169014086,546,762
458.4225352112676,545,761
458.46478873239437,543,759
458.50704225352115,542,758
458.5492957746479,541,757
458.59154929577466,540,756
458.63380281690144,539,755
458.67605633802816,538,754
458.71830985915494,537,753
458.76056338028167,537,752
458.80281690140845,536,751
458.84507042253523,536,749
458.88732394366195,536,746
458.92957746478874,535,744
458.9718309859155,534,742
459.01408450704224,531,741
459.056338028169,529,740
459.09859154929575,528,740
459.14084507042253,526,739
459.1830985915493,524,739
459.22535211267603,522,738
459.2676056338028,520,737
459.3098591549296,519,736
459.3521126760563,519,735
459.3943661971831,519,733
459.4366197183099,522,732
459.4788732394366,521,730
459.5211267605634,520,730
459.5633802816901,520,730
459.6056338028169,520,730
459.6478873239437,519,729
459.6901408450704,518,729
459.7323943661972,517,728
459.77464788732397,516,727
459.8169014084507,516,725
459.85915492957747,517,723
459.90140845070425,519,722
459.943661971831,521,721
459.98591549295776,523,721
460.0281690140845,524,721
460.07042253521126,525,720
460.11267605633805,525,720
460.15492957746477,526,719
460.19718309859155,526,718
460.23943661971833,526,717
460.28169014084506,525,717
460.32394366197184,524,717
460.36619718309856,522,718
460.40845070422534,520,718
460.4507042253521,519,719
460.49295774647885,514,719
460.53521126760563,512,720
460.5774647887324,510,720
460.61971830985914,509,719
460.6619718309859,508,718
460.7042253521127,507,718
460.7464788732394,508,718
460.7887323943662,508,718
460.83098591549293,508,718
460.8732394366197,508,718
460.9154929577465,507,718
460.9577464788732,507,718
461.0,506,717
461.0422535211268,506,717
461.0845070422535,507,717
461.1267605633803,507,716
461.16901408450707,506,715
461.2112676056338,506,714
461.2535211267606,506,713
461.2957746478873,506,712
461.3380281690141,505,711
461.38028169014086,503,709
461.4225352112676,501,707
461.46478873239437,500,705
461.50704225352115,500,702
461.5492957746479,499,702
461.59154929577466,498,701
461.63380281690144,498,701
461.67605633802816,497,701
461.71830985915494,498,701
461.76056338028167,498,699
461.80281690140845,500,697
461.84507042253523,502,696
461.88732394366195,502,696
461.92957746478874,502,696
461.9718309859155,501,695
462.01408450704224,501,695
462.056338028169,500,693
462.09859154929575,499,692
462.14084507042253,498,691
462.1830985915493,498,689
462.22535211267603,497,687
462.2676056338028,496,686
462.3098591549296,495,684
462.3521126760563,495,683
462.3943661971831,496,681
462.4366197183099,495,679
462.4788732394366,495,677
462.5211267605634,497,673
462.5633802816901,499,672
462.6056338028169,499,670
462.6478873239437,498,669
462.6901408450704,497,668
462.7323943661972,496,667
462.77464788732397,494,666
462.8169014084507,492,665
462.85915492957747,489,664
462.90140845070425,487,662
462.943661971831,485,660
462.98591549295776,482,659
463.0281690140845,480,658
463.07042253521126,478,658
463.11267605633805,476,657
463.15492957746477,476,656
463.19718309859155,477,656
463.23943661971833,477,655
463.28169014084506,478,655
463.32394366197184,479,654
463.36619718309856,479,654
463.40845070422534,479,654
463.4507042253521,479,654
463.49295774647885,479,654
463.53521126760563,477,653
463.5774647887324,477,652
463.61971830985914,477,650
463.6619718309859,477,648
463.7042253521127,476,646
463.7464788732394,477,644
463.7887323943662,477,642
463.83098591549293,479,641
463.8732394366197,480,640
463.9154929577465,479,639
463.9577464788732,478,637
464.0,477,636
464.0422535211268,476,636
464.0845070422535,475,635
464.1267605633803,474,634
464.16901408450707,473,634
464.2112676056338,472,633
464.2535211267606,471,632
464.2957746478873,470,631
464.3380281690141,469,629
464.38028169014086,468,628
464.4225352112676,467,628
464.46478873239437,466,627
464.50704225352115,464,627
464.5492957746479,459,625
464.59154929577466,456,625
464.63380281690144,456,626
464.67605633802816,455,626
464.71830985915494,455,625
464.76056338028167,456,624
464.80281690140845,457,624
464.84507042253523,457,624
464.88732394366195,457,623
464.92957746478874,457,623
464.9718309859155,458,623
465.01408450704224,458,623
465.056338028169,458,622
465.09859154929575,458,622
465.14084507042253,458,621
465.1830985915493,458,620
465.22535211267603,457,618
465.2676056338028,455,616
465.3098591549296,454,614
465.3521126760563,452,613
465.3943661971831,450,612
465.4366197183099,450,612
465.4788732394366,451,612
465.5211267605634,453,611
465.5633802816901,457,609
465.6056338028169,459,608
465.6478873239437,461,608
465.6901408450704,462,608
465.7323943661972,462,607
465.77464788732397,461,606
465.8169014084507,459,604
465.85915492957747,457,602
465.90140845070425,455,599
465.943661971831,453,597
465.98591549295776,452,596
466.0281690140845,450,595
466.07042253521126,449,594
466.11267605633805,448,593
466.15492957746477,446,591
466.19718309859155,445,589
466.23943661971833,444,587
466.28169014084506,443,586
466.32394366197184,444,585
466.36619718309856,444,585
466.40845070422534,445,585
466.4507042253521,445,585
466.49295774647885,444,585
466.53521126760563,444,585
466.5774647887324,442,584
466.61971830985914,441,584
466.6619718309859,441,583
466.7042253521127,441,583
466.7464788732394,441,581
466.7887323943662,441,579
466.83098591549293,441,577
466.8732394366197,441,575
466.9154929577465,441,573
466.9577464788732,441,572
467.0,440,570
467.0422535211268,438,569
467.0845070422535,436,568
467.1267605633803,435,568
467.16901408450707,433,567
467.2112676056338,433,568
467.2535211267606,432,568
467.2957746478873,431,567
467.3380281690141,431,566
467.38028169014086,431,564
467.4225352112676,431,563
467.46478873239437,431,562
467.50704225352115,431,559
467.5492957746479,431,556
467.59154929577466,433,553
467.63380281690144,433,550
467.67605633802816,433,549
467.71830985915494,433,549
467.76056338028167,432,548
467.80281690140845,431,548
467.84507042253523,430,548
467.88732394366195,429,547
467.92957746478874,428,547
467.9718309859155,427,546
468.01408450704224,427,545
468.056338028169,427,543
468.09859154929575,426,540
468.14084507042253,425,538
468.1830985915493,424,537
468.22535211267603,422,536
468.2676056338028,420,537
468.3098591549296,417,537
468.3521126760563,415,538
468.3943661971831,412,539
468.4366197183099,410,540
468.4788732394366,408,541
468.5211267605634,407,541
468.5633802816901,405,541
468.6056338028169,401,542
468.6478873239437,400,542
468.6901408450704,399,542
468.7323943661972,400,542
468.77464788732397,400,541
468.8169014084507,400,540
468.85915492957747,401,540
468.90140845070425,400,540
468.943661971831,400,540
468.98591549295776,400,540
469.0281690140845,400,540
469.07042253521126,400,539
469.11267605633805,401,539
469.15492957746477,401,539
469.19718309859155,401,538
469.23943661971833,401,538
469.28169014084506,401,538
469.32394366197184,400,538
469.36619718309856,400,538
469.40845070422534,399,538
469.4507042253521,398,538
469.49295774647885,397,539
469.53521126760563,394,539
469.5774647887324,393,540
469.61971830985914,390,541
469.6619718309859,390,540
469.7042253521127,390,538
469.7464788732394,389,536
469.7887323943662,389,534
469.83098591549293,389,533
469.8732394366197,389,532
469.9154929577465,387,531
469.9577464788732,386,530
470.0,385,530
470.0422535211268,384,530
470.0845070422535,381,530
470.1267605633803,379,530
470.16901408450707,377,530
470.2112676056338,375,531
470.2535211267606,373,530
470.2957746478873,373,530
470.3380281690141,372,529
470.38028169014086,370,528
470.4225352112676,368,527
470.46478873239437,366,526
470.50704225352115,364,526
470.5492957746479,362,526
470.59154929577466,360,527
470.63380281690144,359,527
470.67605633802816,360,527
470.71830985915494,361,528
470.76056338028167,360,527
470.80281690140845,360,527
470.84507042253523,360,527
470.88732394366195,360,527
470.92957746478874,360,527
470.9718309859155,361,528
471.01408450704224,361,527
471.056338028169,362,527
471.09859154929575,363,526
471.14084507042253,364,525
471.1830985915493,363,523
471.22535211267603,363,523
471.2676056338028,361,522
471.3098591549296,358,522
471.3521126760563,356,524
471.3943661971831,354,524
471.4366197183099,354,524
471.4788732394366,354,522
