source,proportion,Q2.5,median,Q97.5,mode,mean
(Intercept),100%,<0.001,<0.001,<0.001,<0.001,<0.001
at_run,86%,<0.001,<0.001,>0.05,<0.001,>0.05
r,100%,<0.001,<0.001,<0.001,<0.001,<0.001
