source,proportion,Q2.5,median,Q97.5,mode,mean
(Intercept),100%,<0.001,<0.001,<0.001,<0.001,<0.001
dance_by: disrupt,98%,<0.001,<0.001,0.03,<0.001,0.0048
dance_by: hold,97%,<0.001,<0.001,>0.05,<0.001,0.0076
light: dark,84%,<0.001,<0.001,>0.05,<0.001,0.04
r,90%,<0.001,<0.001,>0.05,<0.001,0.024
