light,r,color,mean_resultant_vector,lower,upper
dark,5.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7761268414935686,0.645494655699977,0.8691221288900991
dark,5.222222222222222,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7740830943480095,0.6431174736926373,0.8676992285266649
dark,5.444444444444445,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7719550459594533,0.640387932124021,0.8662407374756582
dark,5.666666666666667,"RGB{N0f8}(0.502, 0.502, 0.502)",0.769785487707626,0.6381387585311387,0.8646764189132667
dark,5.888888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7676787377698107,0.6359050017675286,0.863096588215253
dark,6.111111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.765567144492548,0.6333072951679029,0.8614936603632997
dark,6.333333333333333,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7633424828298405,0.6312201153309142,0.8599706119228971
dark,6.555555555555555,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7612281552788015,0.6288111135163282,0.8585368360558914
dark,6.777777777777778,"RGB{N0f8}(0.502, 0.502, 0.502)",0.759016599327254,0.6263027032443531,0.856977928196919
dark,7.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7567818097241341,0.6238165333213737,0.8555880936775018
dark,7.222222222222222,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7546803791302326,0.6212748829104665,0.8540000184539679
dark,7.444444444444445,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7525432542611552,0.6187077993077535,0.8524492257389095
dark,7.666666666666667,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7502300547106762,0.6162806292069288,0.8509510645248531
dark,7.888888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7479229422861415,0.6139533674654878,0.8492822494281373
dark,8.11111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7456628435261761,0.6113861478964282,0.847532767889967
dark,8.333333333333334,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7434269371570774,0.6090768090790921,0.8457299748691078
dark,8.555555555555555,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7411766875771655,0.6062662105811782,0.8439648181286846
dark,8.777777777777779,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7389302920188461,0.6035826904347261,0.8425315436932825
dark,9.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7368148495322402,0.6009280633527332,0.840774815279823
dark,9.222222222222221,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7345135429966159,0.5981645902593578,0.8393136918795663
dark,9.444444444444445,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7320971145574644,0.5953354152724719,0.8376889011383274
dark,9.666666666666666,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7298271648803233,0.5925575133341214,0.8360890115813752
dark,9.88888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7275886508152444,0.5898003300141432,0.834506352464808
dark,10.11111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7252199576502856,0.5868409308131175,0.8327077613992837
dark,10.333333333333334,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7228613771428849,0.5845351470697372,0.8310083881054601
dark,10.555555555555555,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7204045347864501,0.5817123417959207,0.8294590204407305
dark,10.777777777777779,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7180731065243874,0.578439479103652,0.8276757393879697
dark,11.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7156435086094839,0.5754501551227488,0.8257401559879631
dark,11.222222222222221,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7131346723531993,0.5726801844157139,0.8239297613812644
dark,11.444444444444445,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7107175047583301,0.5697092955263656,0.822272749994796
dark,11.666666666666666,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7083925482110466,0.5665294569201185,0.820403521120832
dark,11.88888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7058025066872169,0.5637689338611571,0.8186819384648182
dark,12.11111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7033403940809508,0.5608466244032374,0.816934588366383
dark,12.333333333333334,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7009040323460445,0.558303529420459,0.8150654964741999
dark,12.555555555555555,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6984020423248869,0.5556046070810865,0.8131945230573713
dark,12.777777777777779,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6960010622563708,0.5522235526174825,0.8114386982588209
dark,13.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6936549069290979,0.5494987938714891,0.8096991837874657
dark,13.222222222222221,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6910782401780193,0.5462472293425791,0.8078427634959329
dark,13.444444444444445,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6884973241193242,0.543504133253898,0.8059914779872343
dark,13.666666666666666,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6859271803149304,0.5407542463314909,0.8041935790848761
dark,13.88888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6833038339694759,0.5380103951520939,0.8023750679542582
dark,14.11111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6808975615431382,0.5347951450052386,0.8003248447172188
dark,14.333333333333334,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6784482518858465,0.5324207484721876,0.7985969728990938
dark,14.555555555555555,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6758591815854229,0.529181668041189,0.7967380033649717
dark,14.777777777777779,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6732319292022096,0.5261511587007648,0.7947041562235949
dark,15.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.670681712975097,0.5232836015585968,0.7926513419575737
dark,15.222222222222221,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6680222958186488,0.5202522583378173,0.7905701958329825
dark,15.444444444444445,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6653269597262046,0.5174620633493905,0.7887025765181082
dark,15.666666666666666,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6627530056858366,0.5142535162107772,0.7869373306556487
dark,15.88888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6601048788065778,0.5112296125381239,0.7847630006997873
dark,16.11111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6576150841906897,0.5085975022223405,0.7827334233858708
dark,16.333333333333332,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6549492894624762,0.5055030680392399,0.7811099691739006
dark,16.555555555555557,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6524664308526256,0.5023355445584834,0.7792775353208136
dark,16.77777777777778,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6498294529683348,0.49904522333459433,0.7773577202913591
dark,17.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6471095036798675,0.4968119623529476,0.7752845447596692
dark,17.22222222222222,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6444501817286926,0.493595714992422,0.7730415967275707
dark,17.444444444444443,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6418910894603688,0.4909127253257564,0.7707906398906261
dark,17.666666666666668,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6391662942239132,0.48809102939853444,0.7684976920505882
dark,17.88888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6365720891081892,0.4854544948442373,0.7663081607599992
dark,18.11111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6339479833043299,0.4824378756085048,0.7643782441886321
dark,18.333333333333332,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6311949561042776,0.4798458126137875,0.7623628877274201
dark,18.555555555555557,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6283995003989542,0.4765784145988282,0.7601543749952954
dark,18.77777777777778,"RGB{N0f8}(0.502, 0.502, 0.502)",0.625536574584949,0.4735190404985016,0.7580698042772701
dark,19.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6227832259417206,0.47003056643794794,0.7559088448387759
dark,19.22222222222222,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6200860198045566,0.4662810228861858,0.7540358834586418
