source,proportion,Q2.5,median,Q97.5,mode,mean
(Intercept),100%,<0.001,<0.001,<0.001,<0.001,<0.001
light: remain,98%,<0.001,<0.001,0.019,<0.001,0.007
r,100%,<0.001,<0.001,<0.001,<0.001,<0.001
