at_run,r,color,mean_resultant_vector,lower,upper
1,5.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7934009990360147,0.6662295733960091,0.884871215764095
1,5.222222222222222,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7911853153022053,0.6636237655775753,0.8833239095037199
1,5.444444444444445,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7889334378210306,0.661059301909931,0.8816862348204237
1,5.666666666666667,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7867006804142097,0.6583936251064072,0.8799976727258317
1,5.888888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7844320045339878,0.656028346865389,0.8783657122370041
1,6.111111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7821474353501047,0.6532448258387783,0.8765934194951747
1,6.333333333333333,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7798065133607941,0.650015652962665,0.8747999129992555
1,6.555555555555555,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7773620373885124,0.6469134985883523,0.8729995161418567
1,6.777777777777778,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7750018260793469,0.6441356314258888,0.8714047565817296
1,7.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7726526089045456,0.6415216546262116,0.8695949925788407
1,7.222222222222222,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7702316049690356,0.6388175557776931,0.8678025756701229
1,7.444444444444445,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7679232282458035,0.6357970204492016,0.8659722032635158
1,7.666666666666667,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7654978638265013,0.6331023310684425,0.8642136862087013
1,7.888888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7630631106875387,0.6300391995230705,0.8623807013202142
1,8.11111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.760489911169813,0.626868751197613,0.8604314750031817
1,8.333333333333334,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7579780733621344,0.6236607656418184,0.8585579223275882
1,8.555555555555555,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7555401211002448,0.6203334924272724,0.8568000622201819
1,8.777777777777779,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7530002299520454,0.6175612377407467,0.8550146537767204
1,9.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7504772264001015,0.6149003256035965,0.853183231787355
1,9.222222222222221,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7478941275260649,0.611625829741385,0.851342132495577
1,9.444444444444445,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7453107979101434,0.6082311299852914,0.8494010883770566
1,9.666666666666666,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7427769179859791,0.6053575122854754,0.8473594342170266
1,9.88888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7400637667582763,0.602386955685257,0.8453754050136554
1,10.11111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7374332138398092,0.5990309161402688,0.8433730242077037
1,10.333333333333334,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7348769865086775,0.595856506596857,0.8413449675129319
1,10.555555555555555,"RGB{N0f8}(0.502, 0.502, 0.502)",0.732266194460744,0.5931799850844822,0.8392190369836676
1,10.777777777777779,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7296183760471613,0.5896450963611028,0.8372333242023172
1,11.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7268811207695476,0.5863652053725559,0.8352235868181788
1,11.222222222222221,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7242192900371568,0.5833531025354979,0.8331023382681759
1,11.444444444444445,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7215841757871895,0.5804202831848397,0.8309901567217269
1,11.666666666666666,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7188799052026996,0.5767210404102797,0.8290669191459561
1,11.88888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7160630800023979,0.5743075833625444,0.8273645219570329
1,12.11111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7133488877885565,0.5707856038248341,0.8251189451805697
1,12.333333333333334,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7104598059979585,0.5672185968711283,0.8229550987925693
1,12.555555555555555,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7076351997525194,0.5639588029409631,0.8208650395402893
1,12.777777777777779,"RGB{N0f8}(0.502, 0.502, 0.502)",0.704794785038902,0.5601739336427286,0.8186885406114924
1,13.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7020136452939977,0.5569540277782283,0.8165715414115473
1,13.222222222222221,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6990414742749465,0.5538984444792385,0.8144289814451268
1,13.444444444444445,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6961810893183565,0.5505352503673913,0.8122706158448054
