dance_by,r,color,mean_resultant_vector,lower,upper
disrupt,5.0,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24783556156520203,0.09425689711872691,0.49866268693188737
disrupt,5.222222222222222,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24703717158909455,0.09379202513256829,0.4973455537284743
disrupt,5.444444444444445,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24618108915139075,0.09334320199213778,0.4957675702644748
disrupt,5.666666666666667,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2451224043020806,0.09295234622739046,0.4945093107848968
disrupt,5.888888888888889,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24409601856713375,0.0925042797729364,0.4925324466939523
disrupt,6.111111111111111,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24339276301697133,0.09217152398485647,0.49037592080994985
disrupt,6.333333333333333,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24249646545643772,0.09189530404201778,0.4897502626806148
disrupt,6.555555555555555,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2413995435274312,0.09165467572013478,0.4888049867571758
disrupt,6.777777777777778,"RGB{N0f8}(0.0, 0.153, 0.706)",0.24033333739780235,0.09123536802452495,0.48666395544659524
disrupt,7.0,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23928866171002572,0.09069644249961976,0.48452081318602636
disrupt,7.222222222222222,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23844728533442044,0.090160119649123,0.48254989544756227
disrupt,7.444444444444445,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23747554147025723,0.08970833838098148,0.4806856249982104
disrupt,7.666666666666667,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2368412810309603,0.08933582912803413,0.47818803506477103
disrupt,7.888888888888889,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23595878035330511,0.08900324225619355,0.47658101418823295
disrupt,8.11111111111111,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23513085191378663,0.08869832291145432,0.474003848207358
disrupt,8.333333333333334,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23417186798420225,0.08836660312077542,0.4716927291665931
disrupt,8.555555555555555,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23337552359940555,0.08803208223678297,0.46974172563295125
disrupt,8.777777777777779,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23249997541372347,0.08761246539522902,0.46836316465919803
disrupt,9.0,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2314344294086178,0.08719319756556906,0.4667108113356547
disrupt,9.222222222222221,"RGB{N0f8}(0.0, 0.153, 0.706)",0.23052885555234065,0.0868819907431688,0.46537349123542465
disrupt,9.444444444444445,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22936362005237937,0.0866483688110865,0.46441295266189675
disrupt,9.666666666666666,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2286273007716397,0.08630393857344697,0.46328840113475345
disrupt,9.88888888888889,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22765930989913744,0.0858616079362938,0.46089456398741985
disrupt,10.11111111111111,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2267805667962642,0.08541289175977737,0.45914415794623387
disrupt,10.333333333333334,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22579865859244752,0.08505944971464319,0.4576893107479571
disrupt,10.555555555555555,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22507466157143807,0.08471262921041396,0.4554586252031874
disrupt,10.777777777777779,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22442862388544854,0.08451900236676112,0.45374354886235546
disrupt,11.0,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2234778077365946,0.08398365510976953,0.45274149541575426
disrupt,11.222222222222221,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22255430355407252,0.08348118872086271,0.45103842788737436
disrupt,11.444444444444445,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22147842870450368,0.08327069566737565,0.44971240212124713
disrupt,11.666666666666666,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22060265241692528,0.08286514267739299,0.448992914254618
disrupt,11.88888888888889,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21978503725618342,0.08243833800238509,0.4476168700856746
disrupt,12.11111111111111,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21895875751784788,0.08196951646405863,0.44594803027557833
disrupt,12.333333333333334,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21808685236056277,0.08152233026470532,0.44482332992744716
